Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.bias', 'lm_head.decoder.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	6.76890
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 14 Days 12:57:1       lr: 	1.0000E-06 loss: 	6.17504 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 1 Days 19:58:11       lr: 	1.0000E-06 loss: 	3.51606 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 5:26:26        lr: 	1.0000E-06 loss: 	2.92535 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 0:18:16        lr: 	1.0000E-06 loss: 	2.62773 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 0 Days 21:41:46       lr: 	1.0000E-06 loss: 	2.51845 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 20:6:6         lr: 	1.0000E-06 loss: 	2.44986 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 19:1:45        lr: 	1.0000E-06 loss: 	2.34369 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 18:14:39       lr: 	1.0000E-06 loss: 	2.30668 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 17:39:10       lr: 	1.0000E-06 loss: 	2.28549 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 17:11:19       lr: 	1.0000E-06 loss: 	2.27307 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 16:49:20       lr: 	1.0000E-06 loss: 	2.25928 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 16:31:15       lr: 	1.0000E-06 loss: 	2.23640 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 16:15:47       lr: 	1.0000E-06 loss: 	2.23505 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 16:3:0         lr: 	1.0000E-06 loss: 	2.20488 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 15:51:55       lr: 	1.0000E-06 loss: 	2.19959 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 15:42:11       lr: 	1.0000E-06 loss: 	2.19910 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 15:32:57       lr: 	1.0000E-06 loss: 	2.18238 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 15:24:33       lr: 	1.0000E-06 loss: 	2.16261 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 15:17:15       lr: 	1.0000E-06 loss: 	2.16129 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 15:10:37       lr: 	1.0000E-06 loss: 	2.13886 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 15:4:28        lr: 	1.0000E-06 loss: 	2.12003 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 14:58:48       lr: 	1.0000E-06 loss: 	2.11783 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 14:53:34       lr: 	1.0000E-06 loss: 	2.11073 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 14:49:4        lr: 	1.0000E-06 loss: 	2.12186 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 14:44:44       lr: 	1.0000E-06 loss: 	2.11912 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 14:40:52       lr: 	1.0000E-06 loss: 	2.11501 loss align 0.0000
 epoch [0000 / 0050] [2609/4278] eta: 0 Days 14:37:14       lr: 	1.0000E-06 loss: 	2.10106 loss align 0.0000
 epoch [0000 / 0050] [2709/4278] eta: 0 Days 14:33:43       lr: 	1.0000E-06 loss: 	2.07996 loss align 0.0000
 epoch [0000 / 0050] [2809/4278] eta: 0 Days 14:30:38       lr: 	1.0000E-06 loss: 	2.07672 loss align 0.0000
 epoch [0000 / 0050] [2909/4278] eta: 0 Days 14:27:33       lr: 	1.0000E-06 loss: 	2.07449 loss align 0.0000
 epoch [0000 / 0050] [3009/4278] eta: 0 Days 14:24:42       lr: 	1.0000E-06 loss: 	2.06304 loss align 0.0000
 epoch [0000 / 0050] [3109/4278] eta: 0 Days 14:22:9        lr: 	1.0000E-06 loss: 	2.05379 loss align 0.0000
 epoch [0000 / 0050] [3209/4278] eta: 0 Days 14:19:40       lr: 	1.0000E-06 loss: 	2.05959 loss align 0.0000
 epoch [0000 / 0050] [3309/4278] eta: 0 Days 14:17:14       lr: 	1.0000E-06 loss: 	2.05488 loss align 0.0000
 epoch [0000 / 0050] [3409/4278] eta: 0 Days 14:15:1        lr: 	1.0000E-06 loss: 	2.04893 loss align 0.0000
 epoch [0000 / 0050] [3509/4278] eta: 0 Days 14:12:43       lr: 	1.0000E-06 loss: 	2.03805 loss align 0.0000
 epoch [0000 / 0050] [3609/4278] eta: 0 Days 14:10:41       lr: 	1.0000E-06 loss: 	2.03094 loss align 0.0000
 epoch [0000 / 0050] [3709/4278] eta: 0 Days 14:8:40        lr: 	1.0000E-06 loss: 	2.03146 loss align 0.0000
 epoch [0000 / 0050] [3809/4278] eta: 0 Days 14:6:45        lr: 	1.0000E-06 loss: 	2.04320 loss align 0.0000
 epoch [0000 / 0050] [3909/4278] eta: 0 Days 14:4:54        lr: 	1.0000E-06 loss: 	2.03761 loss align 0.0000
 epoch [0000 / 0050] [4009/4278] eta: 0 Days 14:3:7         lr: 	1.0000E-06 loss: 	2.04514 loss align 0.0000
 epoch [0000 / 0050] [4109/4278] eta: 0 Days 14:1:28        lr: 	1.0000E-06 loss: 	2.04658 loss align 0.0000
 epoch [0000 / 0050] [4209/4278] eta: 0 Days 13:59:57       lr: 	1.0000E-06 loss: 	2.04644 loss align 0.0000
1
starting val epoch 1
val [0001 / 0050] validation loss: 	1.90540
checkpoint
starting train epoch 1
 epoch [0001 / 0050] [0009/4278] eta: 0 Days 14:34:53       lr: 	1.0000E-06 loss: 	1.86682 loss align 0.0000
 epoch [0001 / 0050] [0109/4278] eta: 0 Days 14:32:27       lr: 	1.0000E-06 loss: 	1.87021 loss align 0.0000
 epoch [0001 / 0050] [0209/4278] eta: 0 Days 14:30:16       lr: 	1.0000E-06 loss: 	1.81497 loss align 0.0000
 epoch [0001 / 0050] [0309/4278] eta: 0 Days 14:28:5        lr: 	1.0000E-06 loss: 	1.93654 loss align 0.0000
 epoch [0001 / 0050] [0409/4278] eta: 0 Days 14:25:56       lr: 	1.0000E-06 loss: 	2.02610 loss align 0.0000
 epoch [0001 / 0050] [0509/4278] eta: 0 Days 14:23:57       lr: 	1.0000E-06 loss: 	2.02906 loss align 0.0000
 epoch [0001 / 0050] [0609/4278] eta: 0 Days 14:21:58       lr: 	1.0000E-06 loss: 	1.92892 loss align 0.0000
 epoch [0001 / 0050] [0709/4278] eta: 0 Days 14:20:1        lr: 	1.0000E-06 loss: 	1.97742 loss align 0.0000
 epoch [0001 / 0050] [0809/4278] eta: 0 Days 14:18:8        lr: 	1.0000E-06 loss: 	1.92285 loss align 0.0000
 epoch [0001 / 0050] [0909/4278] eta: 0 Days 14:16:21       lr: 	1.0000E-06 loss: 	1.96980 loss align 0.0000
 epoch [0001 / 0050] [1009/4278] eta: 0 Days 14:14:32       lr: 	1.0000E-06 loss: 	1.95665 loss align 0.0000
 epoch [0001 / 0050] [1109/4278] eta: 0 Days 14:12:47       lr: 	1.0000E-06 loss: 	1.91856 loss align 0.0000
 epoch [0001 / 0050] [1209/4278] eta: 0 Days 14:11:5        lr: 	1.0000E-06 loss: 	1.89374 loss align 0.0000
 epoch [0001 / 0050] [1309/4278] eta: 0 Days 14:9:26        lr: 	1.0000E-06 loss: 	1.92339 loss align 0.0000
 epoch [0001 / 0050] [1409/4278] eta: 0 Days 14:7:51        lr: 	1.0000E-06 loss: 	1.91846 loss align 0.0000
 epoch [0001 / 0050] [1509/4278] eta: 0 Days 14:6:17        lr: 	1.0000E-06 loss: 	1.91093 loss align 0.0000
 epoch [0001 / 0050] [1609/4278] eta: 0 Days 14:4:47        lr: 	1.0000E-06 loss: 	1.90535 loss align 0.0000
 epoch [0001 / 0050] [1709/4278] eta: 0 Days 14:3:15        lr: 	1.0000E-06 loss: 	1.89829 loss align 0.0000
 epoch [0001 / 0050] [1809/4278] eta: 0 Days 14:1:46        lr: 	1.0000E-06 loss: 	1.91660 loss align 0.0000
 epoch [0001 / 0050] [1909/4278] eta: 0 Days 14:0:22        lr: 	1.0000E-06 loss: 	1.90670 loss align 0.0000
 epoch [0001 / 0050] [2009/4278] eta: 0 Days 13:59:0        lr: 	1.0000E-06 loss: 	1.86950 loss align 0.0000
 epoch [0001 / 0050] [2109/4278] eta: 0 Days 13:57:42       lr: 	1.0000E-06 loss: 	1.88275 loss align 0.0000
 epoch [0001 / 0050] [2209/4278] eta: 0 Days 13:56:21       lr: 	1.0000E-06 loss: 	1.88267 loss align 0.0000
 epoch [0001 / 0050] [2309/4278] eta: 0 Days 13:55:6        lr: 	1.0000E-06 loss: 	1.90002 loss align 0.0000
 epoch [0001 / 0050] [2409/4278] eta: 0 Days 13:53:51       lr: 	1.0000E-06 loss: 	1.90679 loss align 0.0000
 epoch [0001 / 0050] [2509/4278] eta: 0 Days 13:52:40       lr: 	1.0000E-06 loss: 	1.91410 loss align 0.0000
 epoch [0001 / 0050] [2609/4278] eta: 0 Days 13:51:31       lr: 	1.0000E-06 loss: 	1.90096 loss align 0.0000
 epoch [0001 / 0050] [2709/4278] eta: 0 Days 13:50:16       lr: 	1.0000E-06 loss: 	1.88551 loss align 0.0000
 epoch [0001 / 0050] [2809/4278] eta: 0 Days 13:49:4        lr: 	1.0000E-06 loss: 	1.88367 loss align 0.0000
 epoch [0001 / 0050] [2909/4278] eta: 0 Days 13:47:56       lr: 	1.0000E-06 loss: 	1.86994 loss align 0.0000
 epoch [0001 / 0050] [3009/4278] eta: 0 Days 13:46:52       lr: 	1.0000E-06 loss: 	1.89220 loss align 0.0000
 epoch [0001 / 0050] [3109/4278] eta: 0 Days 13:45:52       lr: 	1.0000E-06 loss: 	1.88122 loss align 0.0000
 epoch [0001 / 0050] [3209/4278] eta: 0 Days 13:44:47       lr: 	1.0000E-06 loss: 	1.89269 loss align 0.0000
 epoch [0001 / 0050] [3309/4278] eta: 0 Days 13:43:45       lr: 	1.0000E-06 loss: 	1.88370 loss align 0.0000
 epoch [0001 / 0050] [3409/4278] eta: 0 Days 13:42:44       lr: 	1.0000E-06 loss: 	1.88540 loss align 0.0000
 epoch [0001 / 0050] [3509/4278] eta: 0 Days 13:41:44       lr: 	1.0000E-06 loss: 	1.87994 loss align 0.0000
 epoch [0001 / 0050] [3609/4278] eta: 0 Days 13:40:46       lr: 	1.0000E-06 loss: 	1.87891 loss align 0.0000
 epoch [0001 / 0050] [3709/4278] eta: 0 Days 13:39:45       lr: 	1.0000E-06 loss: 	1.87090 loss align 0.0000
 epoch [0001 / 0050] [3809/4278] eta: 0 Days 13:38:45       lr: 	1.0000E-06 loss: 	1.88274 loss align 0.0000
 epoch [0001 / 0050] [3909/4278] eta: 0 Days 13:37:46       lr: 	1.0000E-06 loss: 	1.88199 loss align 0.0000
 epoch [0001 / 0050] [4009/4278] eta: 0 Days 13:36:49       lr: 	1.0000E-06 loss: 	1.87854 loss align 0.0000
 epoch [0001 / 0050] [4109/4278] eta: 0 Days 13:35:54       lr: 	1.0000E-06 loss: 	1.88997 loss align 0.0000
 epoch [0001 / 0050] [4209/4278] eta: 0 Days 13:34:59       lr: 	1.0000E-06 loss: 	1.87816 loss align 0.0000
2
starting val epoch 2
val [0002 / 0050] validation loss: 	2.12294
checkpoint
starting train epoch 2
 epoch [0002 / 0050] [0009/4278] eta: 0 Days 13:52:32       lr: 	1.0000E-06 loss: 	2.36889 loss align 0.0000
 epoch [0002 / 0050] [0109/4278] eta: 0 Days 13:51:31       lr: 	1.0000E-06 loss: 	1.88802 loss align 0.0000
 epoch [0002 / 0050] [0209/4278] eta: 0 Days 13:50:31       lr: 	1.0000E-06 loss: 	1.86346 loss align 0.0000
 epoch [0002 / 0050] [0309/4278] eta: 0 Days 13:49:30       lr: 	1.0000E-06 loss: 	1.90043 loss align 0.0000
 epoch [0002 / 0050] [0409/4278] eta: 0 Days 13:48:33       lr: 	1.0000E-06 loss: 	1.86715 loss align 0.0000
 epoch [0002 / 0050] [0509/4278] eta: 0 Days 13:47:37       lr: 	1.0000E-06 loss: 	1.90699 loss align 0.0000
 epoch [0002 / 0050] [0609/4278] eta: 0 Days 13:46:40       lr: 	1.0000E-06 loss: 	1.94103 loss align 0.0000
 epoch [0002 / 0050] [0709/4278] eta: 0 Days 13:45:44       lr: 	1.0000E-06 loss: 	1.90613 loss align 0.0000
 epoch [0002 / 0050] [0809/4278] eta: 0 Days 13:44:49       lr: 	1.0000E-06 loss: 	1.84443 loss align 0.0000
 epoch [0002 / 0050] [0909/4278] eta: 0 Days 13:43:56       lr: 	1.0000E-06 loss: 	1.82375 loss align 0.0000
 epoch [0002 / 0050] [1009/4278] eta: 0 Days 13:43:6        lr: 	1.0000E-06 loss: 	1.85896 loss align 0.0000
 epoch [0002 / 0050] [1109/4278] eta: 0 Days 13:42:15       lr: 	1.0000E-06 loss: 	1.84859 loss align 0.0000
 epoch [0002 / 0050] [1209/4278] eta: 0 Days 13:41:24       lr: 	1.0000E-06 loss: 	1.82423 loss align 0.0000
 epoch [0002 / 0050] [1309/4278] eta: 0 Days 13:40:35       lr: 	1.0000E-06 loss: 	1.89493 loss align 0.0000
 epoch [0002 / 0050] [1409/4278] eta: 0 Days 13:39:45       lr: 	1.0000E-06 loss: 	1.89617 loss align 0.0000
 epoch [0002 / 0050] [1509/4278] eta: 0 Days 13:38:55       lr: 	1.0000E-06 loss: 	1.87793 loss align 0.0000
 epoch [0002 / 0050] [1609/4278] eta: 0 Days 13:38:6        lr: 	1.0000E-06 loss: 	1.86246 loss align 0.0000
 epoch [0002 / 0050] [1709/4278] eta: 0 Days 13:37:17       lr: 	1.0000E-06 loss: 	1.85207 loss align 0.0000
 epoch [0002 / 0050] [1809/4278] eta: 0 Days 13:36:31       lr: 	1.0000E-06 loss: 	1.85567 loss align 0.0000
 epoch [0002 / 0050] [1909/4278] eta: 0 Days 13:35:43       lr: 	1.0000E-06 loss: 	1.85120 loss align 0.0000
 epoch [0002 / 0050] [2009/4278] eta: 0 Days 13:34:55       lr: 	1.0000E-06 loss: 	1.85269 loss align 0.0000
 epoch [0002 / 0050] [2109/4278] eta: 0 Days 13:34:9        lr: 	1.0000E-06 loss: 	1.85400 loss align 0.0000
 epoch [0002 / 0050] [2209/4278] eta: 0 Days 13:33:21       lr: 	1.0000E-06 loss: 	1.87156 loss align 0.0000
 epoch [0002 / 0050] [2309/4278] eta: 0 Days 13:32:36       lr: 	1.0000E-06 loss: 	1.87777 loss align 0.0000
 epoch [0002 / 0050] [2409/4278] eta: 0 Days 13:31:50       lr: 	1.0000E-06 loss: 	1.86476 loss align 0.0000
 epoch [0002 / 0050] [2509/4278] eta: 0 Days 13:31:6        lr: 	1.0000E-06 loss: 	1.86104 loss align 0.0000
 epoch [0002 / 0050] [2609/4278] eta: 0 Days 13:30:22       lr: 	1.0000E-06 loss: 	1.85968 loss align 0.0000
 epoch [0002 / 0050] [2709/4278] eta: 0 Days 13:29:39       lr: 	1.0000E-06 loss: 	1.86151 loss align 0.0000
 epoch [0002 / 0050] [2809/4278] eta: 0 Days 13:28:54       lr: 	1.0000E-06 loss: 	1.87059 loss align 0.0000
 epoch [0002 / 0050] [2909/4278] eta: 0 Days 13:28:12       lr: 	1.0000E-06 loss: 	1.85622 loss align 0.0000
 epoch [0002 / 0050] [3009/4278] eta: 0 Days 13:27:29       lr: 	1.0000E-06 loss: 	1.86172 loss align 0.0000
 epoch [0002 / 0050] [3109/4278] eta: 0 Days 13:26:45       lr: 	1.0000E-06 loss: 	1.85439 loss align 0.0000
 epoch [0002 / 0050] [3209/4278] eta: 0 Days 13:26:3        lr: 	1.0000E-06 loss: 	1.83858 loss align 0.0000
 epoch [0002 / 0050] [3309/4278] eta: 0 Days 13:25:22       lr: 	1.0000E-06 loss: 	1.84305 loss align 0.0000
 epoch [0002 / 0050] [3409/4278] eta: 0 Days 13:24:40       lr: 	1.0000E-06 loss: 	1.83473 loss align 0.0000
 epoch [0002 / 0050] [3509/4278] eta: 0 Days 13:23:59       lr: 	1.0000E-06 loss: 	1.84789 loss align 0.0000
 epoch [0002 / 0050] [3609/4278] eta: 0 Days 13:23:17       lr: 	1.0000E-06 loss: 	1.85649 loss align 0.0000
 epoch [0002 / 0050] [3709/4278] eta: 0 Days 13:22:37       lr: 	1.0000E-06 loss: 	1.84668 loss align 0.0000
 epoch [0002 / 0050] [3809/4278] eta: 0 Days 13:21:56       lr: 	1.0000E-06 loss: 	1.83556 loss align 0.0000
 epoch [0002 / 0050] [3909/4278] eta: 0 Days 13:21:16       lr: 	1.0000E-06 loss: 	1.83648 loss align 0.0000
 epoch [0002 / 0050] [4009/4278] eta: 0 Days 13:20:36       lr: 	1.0000E-06 loss: 	1.82969 loss align 0.0000
 epoch [0002 / 0050] [4109/4278] eta: 0 Days 13:19:56       lr: 	1.0000E-06 loss: 	1.82898 loss align 0.0000
 epoch [0002 / 0050] [4209/4278] eta: 0 Days 13:19:16       lr: 	1.0000E-06 loss: 	1.83652 loss align 0.0000
3
starting val epoch 3
val [0003 / 0050] validation loss: 	2.12547
starting train epoch 3
 epoch [0003 / 0050] [0009/4278] eta: 0 Days 13:29:30       lr: 	1.0000E-06 loss: 	1.13264 loss align 0.0000
 epoch [0003 / 0050] [0109/4278] eta: 0 Days 13:28:39       lr: 	1.0000E-06 loss: 	1.51761 loss align 0.0000
 epoch [0003 / 0050] [0209/4278] eta: 0 Days 13:27:51       lr: 	1.0000E-06 loss: 	1.78313 loss align 0.0000
 epoch [0003 / 0050] [0309/4278] eta: 0 Days 13:27:4        lr: 	1.0000E-06 loss: 	1.73216 loss align 0.0000
 epoch [0003 / 0050] [0409/4278] eta: 0 Days 13:26:18       lr: 	1.0000E-06 loss: 	1.71076 loss align 0.0000
 epoch [0003 / 0050] [0509/4278] eta: 0 Days 13:25:30       lr: 	1.0000E-06 loss: 	1.66925 loss align 0.0000
 epoch [0003 / 0050] [0609/4278] eta: 0 Days 13:24:44       lr: 	1.0000E-06 loss: 	1.65360 loss align 0.0000
 epoch [0003 / 0050] [0709/4278] eta: 0 Days 13:23:58       lr: 	1.0000E-06 loss: 	1.74970 loss align 0.0000
 epoch [0003 / 0050] [0809/4278] eta: 0 Days 13:23:13       lr: 	1.0000E-06 loss: 	1.80128 loss align 0.0000
 epoch [0003 / 0050] [0909/4278] eta: 0 Days 13:22:28       lr: 	1.0000E-06 loss: 	1.85115 loss align 0.0000
 epoch [0003 / 0050] [1009/4278] eta: 0 Days 13:21:43       lr: 	1.0000E-06 loss: 	1.80630 loss align 0.0000
 epoch [0003 / 0050] [1109/4278] eta: 0 Days 13:20:59       lr: 	1.0000E-06 loss: 	1.79179 loss align 0.0000
 epoch [0003 / 0050] [1209/4278] eta: 0 Days 13:20:15       lr: 	1.0000E-06 loss: 	1.78334 loss align 0.0000
 epoch [0003 / 0050] [1309/4278] eta: 0 Days 13:19:32       lr: 	1.0000E-06 loss: 	1.77832 loss align 0.0000
 epoch [0003 / 0050] [1409/4278] eta: 0 Days 13:18:48       lr: 	1.0000E-06 loss: 	1.77974 loss align 0.0000
 epoch [0003 / 0050] [1509/4278] eta: 0 Days 13:18:6        lr: 	1.0000E-06 loss: 	1.76998 loss align 0.0000
 epoch [0003 / 0050] [1609/4278] eta: 0 Days 13:17:22       lr: 	1.0000E-06 loss: 	1.78208 loss align 0.0000
 epoch [0003 / 0050] [1709/4278] eta: 0 Days 13:16:39       lr: 	1.0000E-06 loss: 	1.78178 loss align 0.0000
 epoch [0003 / 0050] [1809/4278] eta: 0 Days 13:15:56       lr: 	1.0000E-06 loss: 	1.80300 loss align 0.0000
 epoch [0003 / 0050] [1909/4278] eta: 0 Days 13:15:13       lr: 	1.0000E-06 loss: 	1.79073 loss align 0.0000
 epoch [0003 / 0050] [2009/4278] eta: 0 Days 13:14:32       lr: 	1.0000E-06 loss: 	1.78178 loss align 0.0000
 epoch [0003 / 0050] [2109/4278] eta: 0 Days 13:13:51       lr: 	1.0000E-06 loss: 	1.78695 loss align 0.0000
 epoch [0003 / 0050] [2209/4278] eta: 0 Days 13:13:9        lr: 	1.0000E-06 loss: 	1.76753 loss align 0.0000
 epoch [0003 / 0050] [2309/4278] eta: 0 Days 13:12:28       lr: 	1.0000E-06 loss: 	1.77027 loss align 0.0000
 epoch [0003 / 0050] [2409/4278] eta: 0 Days 13:11:49       lr: 	1.0000E-06 loss: 	1.77457 loss align 0.0000
 epoch [0003 / 0050] [2509/4278] eta: 0 Days 13:11:7        lr: 	1.0000E-06 loss: 	1.77777 loss align 0.0000
 epoch [0003 / 0050] [2609/4278] eta: 0 Days 13:10:25       lr: 	1.0000E-06 loss: 	1.78078 loss align 0.0000
 epoch [0003 / 0050] [2709/4278] eta: 0 Days 13:9:44        lr: 	1.0000E-06 loss: 	1.78636 loss align 0.0000
 epoch [0003 / 0050] [2809/4278] eta: 0 Days 13:9:4         lr: 	1.0000E-06 loss: 	1.77606 loss align 0.0000
 epoch [0003 / 0050] [2909/4278] eta: 0 Days 13:8:25        lr: 	1.0000E-06 loss: 	1.79377 loss align 0.0000
 epoch [0003 / 0050] [3009/4278] eta: 0 Days 13:7:46        lr: 	1.0000E-06 loss: 	1.78860 loss align 0.0000
 epoch [0003 / 0050] [3109/4278] eta: 0 Days 13:7:7         lr: 	1.0000E-06 loss: 	1.78562 loss align 0.0000
 epoch [0003 / 0050] [3209/4278] eta: 0 Days 13:6:28        lr: 	1.0000E-06 loss: 	1.79079 loss align 0.0000
 epoch [0003 / 0050] [3309/4278] eta: 0 Days 13:5:48        lr: 	1.0000E-06 loss: 	1.80187 loss align 0.0000
 epoch [0003 / 0050] [3409/4278] eta: 0 Days 13:5:10        lr: 	1.0000E-06 loss: 	1.79078 loss align 0.0000
 epoch [0003 / 0050] [3509/4278] eta: 0 Days 13:4:32        lr: 	1.0000E-06 loss: 	1.80180 loss align 0.0000
 epoch [0003 / 0050] [3609/4278] eta: 0 Days 13:3:54        lr: 	1.0000E-06 loss: 	1.82057 loss align 0.0000
 epoch [0003 / 0050] [3709/4278] eta: 0 Days 13:3:18        lr: 	1.0000E-06 loss: 	1.82331 loss align 0.0000
 epoch [0003 / 0050] [3809/4278] eta: 0 Days 13:2:40        lr: 	1.0000E-06 loss: 	1.81667 loss align 0.0000
 epoch [0003 / 0050] [3909/4278] eta: 0 Days 13:2:3         lr: 	1.0000E-06 loss: 	1.82702 loss align 0.0000
 epoch [0003 / 0050] [4009/4278] eta: 0 Days 13:1:25        lr: 	1.0000E-06 loss: 	1.83273 loss align 0.0000
 epoch [0003 / 0050] [4109/4278] eta: 0 Days 13:0:47        lr: 	1.0000E-06 loss: 	1.83335 loss align 0.0000
 epoch [0003 / 0050] [4209/4278] eta: 0 Days 13:0:9         lr: 	1.0000E-06 loss: 	1.83469 loss align 0.0000
4
starting val epoch 4
val [0004 / 0050] validation loss: 	2.43536
starting train epoch 4
 epoch [0004 / 0050] [0009/4278] eta: 0 Days 13:7:34        lr: 	1.0000E-06 loss: 	0.61261 loss align 0.0000
 epoch [0004 / 0050] [0109/4278] eta: 0 Days 13:6:56        lr: 	1.0000E-06 loss: 	2.02447 loss align 0.0000
 epoch [0004 / 0050] [0209/4278] eta: 0 Days 13:6:18        lr: 	1.0000E-06 loss: 	1.78311 loss align 0.0000
 epoch [0004 / 0050] [0309/4278] eta: 0 Days 13:5:41        lr: 	1.0000E-06 loss: 	1.76306 loss align 0.0000
 epoch [0004 / 0050] [0409/4278] eta: 0 Days 13:5:5         lr: 	1.0000E-06 loss: 	1.77870 loss align 0.0000
 epoch [0004 / 0050] [0509/4278] eta: 0 Days 13:4:29        lr: 	1.0000E-06 loss: 	1.76465 loss align 0.0000
 epoch [0004 / 0050] [0609/4278] eta: 0 Days 13:3:52        lr: 	1.0000E-06 loss: 	1.76416 loss align 0.0000
 epoch [0004 / 0050] [0709/4278] eta: 0 Days 13:3:16        lr: 	1.0000E-06 loss: 	1.74095 loss align 0.0000
 epoch [0004 / 0050] [0809/4278] eta: 0 Days 13:2:42        lr: 	1.0000E-06 loss: 	1.72794 loss align 0.0000
 epoch [0004 / 0050] [0909/4278] eta: 0 Days 13:2:6         lr: 	1.0000E-06 loss: 	1.78451 loss align 0.0000
 epoch [0004 / 0050] [1009/4278] eta: 0 Days 13:1:31        lr: 	1.0000E-06 loss: 	1.80145 loss align 0.0000
 epoch [0004 / 0050] [1109/4278] eta: 0 Days 13:0:56        lr: 	1.0000E-06 loss: 	1.80728 loss align 0.0000
 epoch [0004 / 0050] [1209/4278] eta: 0 Days 13:0:21        lr: 	1.0000E-06 loss: 	1.78828 loss align 0.0000
 epoch [0004 / 0050] [1309/4278] eta: 0 Days 12:59:47       lr: 	1.0000E-06 loss: 	1.76595 loss align 0.0000
