Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.decoder.weight', 'lm_head.dense.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.bias', 'lm_head.layer_norm.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	6.76890
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 12 Days 1:11:14       lr: 	1.0000E-07 loss: 	6.32085 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 1 Days 12:14:4        lr: 	1.0000E-07 loss: 	5.60073 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 0:11:20        lr: 	1.0000E-07 loss: 	5.16722 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 0 Days 19:55:45       lr: 	1.0000E-07 loss: 	4.80228 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 0 Days 17:45:46       lr: 	1.0000E-07 loss: 	4.50113 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 16:26:32       lr: 	1.0000E-07 loss: 	4.24355 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 15:33:6        lr: 	1.0000E-07 loss: 	4.02266 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 14:53:57       lr: 	1.0000E-07 loss: 	3.86032 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 14:24:27       lr: 	1.0000E-07 loss: 	3.71949 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 14:1:15        lr: 	1.0000E-07 loss: 	3.60666 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 13:42:55       lr: 	1.0000E-07 loss: 	3.51198 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 13:27:52       lr: 	1.0000E-07 loss: 	3.42720 loss align 0.0000
