Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.bias', 'lm_head.decoder.weight', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	5.46836
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 14 Days 15:30:19      lr: 	1.0000E-04 loss: 	9.85983 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 1 Days 20:22:53       lr: 	1.0000E-04 loss: 	4.51616 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 5:45:26        lr: 	1.0000E-04 loss: 	3.86486 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 0:35:20        lr: 	1.0000E-04 loss: 	3.60432 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 0 Days 21:54:59       lr: 	1.0000E-04 loss: 	3.48054 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 20:17:9        lr: 	1.0000E-04 loss: 	3.59378 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 19:11:33       lr: 	1.0000E-04 loss: 	3.40957 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 18:24:0        lr: 	1.0000E-04 loss: 	3.26775 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 17:48:47       lr: 	1.0000E-04 loss: 	3.19661 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 17:21:11       lr: 	1.0000E-04 loss: 	3.08267 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 16:59:7        lr: 	1.0000E-04 loss: 	2.99108 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 16:40:43       lr: 	1.0000E-04 loss: 	2.96142 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 16:25:19       lr: 	1.0000E-04 loss: 	2.90718 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 16:12:25       lr: 	1.0000E-04 loss: 	2.88359 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 16:1:12        lr: 	1.0000E-04 loss: 	2.86508 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 15:50:28       lr: 	1.0000E-04 loss: 	2.87103 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 15:41:7        lr: 	1.0000E-04 loss: 	2.83994 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 15:32:53       lr: 	1.0000E-04 loss: 	2.82623 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 15:25:26       lr: 	1.0000E-04 loss: 	2.84304 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 15:19:1        lr: 	1.0000E-04 loss: 	2.84833 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 15:12:52       lr: 	1.0000E-04 loss: 	2.80690 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 15:7:16        lr: 	1.0000E-04 loss: 	2.83597 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 15:1:57        lr: 	1.0000E-04 loss: 	2.79756 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 14:57:22       lr: 	1.0000E-04 loss: 	2.81020 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 14:53:1        lr: 	1.0000E-04 loss: 	2.79976 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 14:49:5        lr: 	1.0000E-04 loss: 	2.79149 loss align 0.0000
 epoch [0000 / 0050] [2609/4278] eta: 0 Days 14:45:29       lr: 	1.0000E-04 loss: 	2.77265 loss align 0.0000
 epoch [0000 / 0050] [2709/4278] eta: 0 Days 14:42:5        lr: 	1.0000E-04 loss: 	2.76142 loss align 0.0000
 epoch [0000 / 0050] [2809/4278] eta: 0 Days 14:38:56       lr: 	1.0000E-04 loss: 	2.76006 loss align 0.0000
 epoch [0000 / 0050] [2909/4278] eta: 0 Days 14:35:46       lr: 	1.0000E-04 loss: 	2.75012 loss align 0.0000
 epoch [0000 / 0050] [3009/4278] eta: 0 Days 14:32:53       lr: 	1.0000E-04 loss: 	2.74617 loss align 0.0000
 epoch [0000 / 0050] [3109/4278] eta: 0 Days 14:30:10       lr: 	1.0000E-04 loss: 	2.73994 loss align 0.0000
 epoch [0000 / 0050] [3209/4278] eta: 0 Days 14:27:40       lr: 	1.0000E-04 loss: 	2.73310 loss align 0.0000
 epoch [0000 / 0050] [3309/4278] eta: 0 Days 14:25:20       lr: 	1.0000E-04 loss: 	2.74082 loss align 0.0000
 epoch [0000 / 0050] [3409/4278] eta: 0 Days 14:23:5        lr: 	1.0000E-04 loss: 	2.72629 loss align 0.0000
 epoch [0000 / 0050] [3509/4278] eta: 0 Days 14:20:49       lr: 	1.0000E-04 loss: 	2.71872 loss align 0.0000
 epoch [0000 / 0050] [3609/4278] eta: 0 Days 14:18:49       lr: 	1.0000E-04 loss: 	2.70499 loss align 0.0000
 epoch [0000 / 0050] [3709/4278] eta: 0 Days 14:16:44       lr: 	1.0000E-04 loss: 	2.72928 loss align 0.0000
 epoch [0000 / 0050] [3809/4278] eta: 0 Days 14:14:54       lr: 	1.0000E-04 loss: 	2.71527 loss align 0.0000
 epoch [0000 / 0050] [3909/4278] eta: 0 Days 14:13:7        lr: 	1.0000E-04 loss: 	2.71414 loss align 0.0000
 epoch [0000 / 0050] [4009/4278] eta: 0 Days 14:11:19       lr: 	1.0000E-04 loss: 	2.71156 loss align 0.0000
 epoch [0000 / 0050] [4109/4278] eta: 0 Days 14:9:41        lr: 	1.0000E-04 loss: 	2.70586 loss align 0.0000
 epoch [0000 / 0050] [4209/4278] eta: 0 Days 14:8:5         lr: 	1.0000E-04 loss: 	2.70511 loss align 0.0000
1
starting val epoch 1
val [0001 / 0050] validation loss: 	2.04430
checkpoint
starting train epoch 1
 epoch [0001 / 0050] [0009/4278] eta: 0 Days 14:43:26       lr: 	1.0000E-04 loss: 	1.17932 loss align 0.0000
 epoch [0001 / 0050] [0109/4278] eta: 0 Days 14:42:6        lr: 	1.0000E-04 loss: 	3.10902 loss align 0.0000
 epoch [0001 / 0050] [0209/4278] eta: 0 Days 14:39:54       lr: 	1.0000E-04 loss: 	2.64026 loss align 0.0000
 epoch [0001 / 0050] [0309/4278] eta: 0 Days 14:37:44       lr: 	1.0000E-04 loss: 	2.46616 loss align 0.0000
 epoch [0001 / 0050] [0409/4278] eta: 0 Days 14:35:40       lr: 	1.0000E-04 loss: 	3.07015 loss align 0.0000
 epoch [0001 / 0050] [0509/4278] eta: 0 Days 14:33:45       lr: 	1.0000E-04 loss: 	2.93865 loss align 0.0000
 epoch [0001 / 0050] [0609/4278] eta: 0 Days 14:31:48       lr: 	1.0000E-04 loss: 	2.86918 loss align 0.0000
 epoch [0001 / 0050] [0709/4278] eta: 0 Days 14:30:0        lr: 	1.0000E-04 loss: 	2.82125 loss align 0.0000
 epoch [0001 / 0050] [0809/4278] eta: 0 Days 14:28:9        lr: 	1.0000E-04 loss: 	2.76047 loss align 0.0000
 epoch [0001 / 0050] [0909/4278] eta: 0 Days 14:26:24       lr: 	1.0000E-04 loss: 	2.68353 loss align 0.0000
 epoch [0001 / 0050] [1009/4278] eta: 0 Days 14:24:44       lr: 	1.0000E-04 loss: 	2.65021 loss align 0.0000
 epoch [0001 / 0050] [1109/4278] eta: 0 Days 14:23:3        lr: 	1.0000E-04 loss: 	2.67229 loss align 0.0000
 epoch [0001 / 0050] [1209/4278] eta: 0 Days 14:21:26       lr: 	1.0000E-04 loss: 	2.62041 loss align 0.0000
 epoch [0001 / 0050] [1309/4278] eta: 0 Days 14:19:52       lr: 	1.0000E-04 loss: 	2.67741 loss align 0.0000
 epoch [0001 / 0050] [1409/4278] eta: 0 Days 14:18:22       lr: 	1.0000E-04 loss: 	2.66616 loss align 0.0000
 epoch [0001 / 0050] [1509/4278] eta: 0 Days 14:16:50       lr: 	1.0000E-04 loss: 	2.64040 loss align 0.0000
 epoch [0001 / 0050] [1609/4278] eta: 0 Days 14:15:20       lr: 	1.0000E-04 loss: 	2.63279 loss align 0.0000
 epoch [0001 / 0050] [1709/4278] eta: 0 Days 14:13:56       lr: 	1.0000E-04 loss: 	2.61326 loss align 0.0000
 epoch [0001 / 0050] [1809/4278] eta: 0 Days 14:12:34       lr: 	1.0000E-04 loss: 	2.60097 loss align 0.0000
 epoch [0001 / 0050] [1909/4278] eta: 0 Days 14:11:15       lr: 	1.0000E-04 loss: 	2.56592 loss align 0.0000
 epoch [0001 / 0050] [2009/4278] eta: 0 Days 14:9:57        lr: 	1.0000E-04 loss: 	2.55267 loss align 0.0000
 epoch [0001 / 0050] [2109/4278] eta: 0 Days 14:8:39        lr: 	1.0000E-04 loss: 	2.54892 loss align 0.0000
 epoch [0001 / 0050] [2209/4278] eta: 0 Days 14:7:27        lr: 	1.0000E-04 loss: 	2.57011 loss align 0.0000
 epoch [0001 / 0050] [2309/4278] eta: 0 Days 14:6:12        lr: 	1.0000E-04 loss: 	2.56502 loss align 0.0000
 epoch [0001 / 0050] [2409/4278] eta: 0 Days 14:4:58        lr: 	1.0000E-04 loss: 	2.55693 loss align 0.0000
 epoch [0001 / 0050] [2509/4278] eta: 0 Days 14:3:49        lr: 	1.0000E-04 loss: 	2.55822 loss align 0.0000
 epoch [0001 / 0050] [2609/4278] eta: 0 Days 14:2:37        lr: 	1.0000E-04 loss: 	2.54673 loss align 0.0000
 epoch [0001 / 0050] [2709/4278] eta: 0 Days 14:1:26        lr: 	1.0000E-04 loss: 	2.53876 loss align 0.0000
 epoch [0001 / 0050] [2809/4278] eta: 0 Days 14:0:16        lr: 	1.0000E-04 loss: 	2.53244 loss align 0.0000
 epoch [0001 / 0050] [2909/4278] eta: 0 Days 13:59:8        lr: 	1.0000E-04 loss: 	2.52717 loss align 0.0000
 epoch [0001 / 0050] [3009/4278] eta: 0 Days 13:58:2        lr: 	1.0000E-04 loss: 	2.52474 loss align 0.0000
 epoch [0001 / 0050] [3109/4278] eta: 0 Days 13:56:59       lr: 	1.0000E-04 loss: 	2.53600 loss align 0.0000
 epoch [0001 / 0050] [3209/4278] eta: 0 Days 13:55:56       lr: 	1.0000E-04 loss: 	2.55048 loss align 0.0000
 epoch [0001 / 0050] [3309/4278] eta: 0 Days 13:54:55       lr: 	1.0000E-04 loss: 	2.54290 loss align 0.0000
 epoch [0001 / 0050] [3409/4278] eta: 0 Days 13:53:54       lr: 	1.0000E-04 loss: 	2.53816 loss align 0.0000
 epoch [0001 / 0050] [3509/4278] eta: 0 Days 13:52:55       lr: 	1.0000E-04 loss: 	2.53733 loss align 0.0000
 epoch [0001 / 0050] [3609/4278] eta: 0 Days 13:51:55       lr: 	1.0000E-04 loss: 	2.53895 loss align 0.0000
 epoch [0001 / 0050] [3709/4278] eta: 0 Days 13:50:59       lr: 	1.0000E-04 loss: 	2.54447 loss align 0.0000
