Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.decoder.weight', 'lm_head.dense.weight', 'lm_head.bias', 'lm_head.layer_norm.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.decoder.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	5.46836
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 12 Days 18:17:11      lr: 	1.0000E-05 loss: 	3.13344 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 1 Days 14:16:46       lr: 	1.0000E-05 loss: 	2.77989 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 1:31:23        lr: 	1.0000E-05 loss: 	2.55063 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 0 Days 21:0:18        lr: 	1.0000E-05 loss: 	2.53125 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 0 Days 18:41:17       lr: 	1.0000E-05 loss: 	2.44802 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 17:15:20       lr: 	1.0000E-05 loss: 	2.48232 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 16:17:59       lr: 	1.0000E-05 loss: 	2.45321 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 15:36:32       lr: 	1.0000E-05 loss: 	2.40062 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 15:5:17        lr: 	1.0000E-05 loss: 	2.38059 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 14:40:49       lr: 	1.0000E-05 loss: 	2.29961 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 14:21:36       lr: 	1.0000E-05 loss: 	2.25056 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 14:5:33        lr: 	1.0000E-05 loss: 	2.23288 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 13:52:9        lr: 	1.0000E-05 loss: 	2.23180 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 13:40:53       lr: 	1.0000E-05 loss: 	2.24371 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 13:31:14       lr: 	1.0000E-05 loss: 	2.25326 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 13:22:35       lr: 	1.0000E-05 loss: 	2.26609 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 13:14:28       lr: 	1.0000E-05 loss: 	2.25108 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 13:7:12        lr: 	1.0000E-05 loss: 	2.23124 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 13:0:40        lr: 	1.0000E-05 loss: 	2.24428 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 12:55:0        lr: 	1.0000E-05 loss: 	2.24645 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 12:49:38       lr: 	1.0000E-05 loss: 	2.20293 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 12:44:47       lr: 	1.0000E-05 loss: 	2.22295 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 12:40:15       lr: 	1.0000E-05 loss: 	2.20224 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 12:36:14       lr: 	1.0000E-05 loss: 	2.21460 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 12:32:25       lr: 	1.0000E-05 loss: 	2.22585 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 12:28:56       lr: 	1.0000E-05 loss: 	2.23406 loss align 0.0000
