Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.decoder.weight', 'lm_head.layer_norm.weight', 'lm_head.dense.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	5.39896
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 15 Days 10:45:37      lr: 	1.0000E-06 loss: 	3.86405 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 2 Days 0:6:19         lr: 	1.0000E-06 loss: 	3.01954 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 8:44:41        lr: 	1.0000E-06 loss: 	2.62221 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 3:19:19        lr: 	1.0000E-06 loss: 	2.40806 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 1 Days 0:30:53        lr: 	1.0000E-06 loss: 	2.26825 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 22:48:2        lr: 	1.0000E-06 loss: 	2.31241 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 21:39:39       lr: 	1.0000E-06 loss: 	2.26748 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 20:49:53       lr: 	1.0000E-06 loss: 	2.20868 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 20:12:39       lr: 	1.0000E-06 loss: 	2.21702 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 19:43:29       lr: 	1.0000E-06 loss: 	2.14652 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 19:20:15       lr: 	1.0000E-06 loss: 	2.08556 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 19:0:48        lr: 	1.0000E-06 loss: 	2.06939 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 18:44:28       lr: 	1.0000E-06 loss: 	2.05679 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 18:30:55       lr: 	1.0000E-06 loss: 	2.06981 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 18:19:15       lr: 	1.0000E-06 loss: 	2.06538 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 18:7:58        lr: 	1.0000E-06 loss: 	2.09760 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 17:58:2        lr: 	1.0000E-06 loss: 	2.09402 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 17:49:19       lr: 	1.0000E-06 loss: 	2.05575 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 17:41:22       lr: 	1.0000E-06 loss: 	2.06648 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 17:34:32       lr: 	1.0000E-06 loss: 	2.06675 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 17:28:1        lr: 	1.0000E-06 loss: 	2.02308 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 17:22:9        lr: 	1.0000E-06 loss: 	2.01232 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 17:16:35       lr: 	1.0000E-06 loss: 	1.99320 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 17:11:42       lr: 	1.0000E-06 loss: 	2.01413 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 17:7:2         lr: 	1.0000E-06 loss: 	2.02083 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 17:2:49        lr: 	1.0000E-06 loss: 	2.02642 loss align 0.0000
 epoch [0000 / 0050] [2609/4278] eta: 0 Days 16:58:57       lr: 	1.0000E-06 loss: 	2.01204 loss align 0.0000
 epoch [0000 / 0050] [2709/4278] eta: 0 Days 16:55:17       lr: 	1.0000E-06 loss: 	2.01040 loss align 0.0000
 epoch [0000 / 0050] [2809/4278] eta: 0 Days 16:51:53       lr: 	1.0000E-06 loss: 	2.01591 loss align 0.0000
 epoch [0000 / 0050] [2909/4278] eta: 0 Days 16:48:35       lr: 	1.0000E-06 loss: 	2.01413 loss align 0.0000
 epoch [0000 / 0050] [3009/4278] eta: 0 Days 16:45:37       lr: 	1.0000E-06 loss: 	2.00530 loss align 0.0000
 epoch [0000 / 0050] [3109/4278] eta: 0 Days 16:42:46       lr: 	1.0000E-06 loss: 	2.01573 loss align 0.0000
 epoch [0000 / 0050] [3209/4278] eta: 0 Days 16:40:4        lr: 	1.0000E-06 loss: 	2.01716 loss align 0.0000
 epoch [0000 / 0050] [3309/4278] eta: 0 Days 16:37:28       lr: 	1.0000E-06 loss: 	2.00855 loss align 0.0000
 epoch [0000 / 0050] [3409/4278] eta: 0 Days 16:35:4        lr: 	1.0000E-06 loss: 	1.99698 loss align 0.0000
 epoch [0000 / 0050] [3509/4278] eta: 0 Days 16:32:37       lr: 	1.0000E-06 loss: 	2.00192 loss align 0.0000
