Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.decoder.weight', 'lm_head.bias', 'lm_head.layer_norm.bias', 'lm_head.dense.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.bias', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.22809
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 10 Days 3:23:48       lr: 	1.0000E-07 loss: 	4.52179 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 4:26:59        lr: 	1.0000E-07 loss: 	3.50955 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 18:13:24       lr: 	1.0000E-07 loss: 	3.03938 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 14:35:39       lr: 	1.0000E-07 loss: 	2.71079 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 12:44:8        lr: 	1.0000E-07 loss: 	2.44106 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 11:36:17       lr: 	1.0000E-07 loss: 	2.34827 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 10:50:45       lr: 	1.0000E-07 loss: 	2.38229 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 10:18:2        lr: 	1.0000E-07 loss: 	2.40446 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 9:53:20        lr: 	1.0000E-07 loss: 	2.29572 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 9:33:3         lr: 	1.0000E-07 loss: 	2.28318 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 9:13:21        lr: 	1.0000E-07 loss: 	2.28986 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 8:57:11        lr: 	1.0000E-07 loss: 	2.25162 loss align 0.0000
