Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.decoder.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.22809
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 9 Days 8:54:17        lr: 	1.0000E-08 loss: 	4.56693 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 2:9:27         lr: 	1.0000E-08 loss: 	3.97082 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 16:41:41       lr: 	1.0000E-08 loss: 	3.83830 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 13:20:21       lr: 	1.0000E-08 loss: 	3.75334 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 11:37:12       lr: 	1.0000E-08 loss: 	3.64963 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 10:34:26       lr: 	1.0000E-08 loss: 	3.62102 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 9:52:18        lr: 	1.0000E-08 loss: 	3.67516 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 9:22:1         lr: 	1.0000E-08 loss: 	3.70932 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 8:59:1         lr: 	1.0000E-08 loss: 	3.63024 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 8:41:3         lr: 	1.0000E-08 loss: 	3.61573 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 8:26:38        lr: 	1.0000E-08 loss: 	3.62586 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 8:14:54        lr: 	1.0000E-08 loss: 	3.59910 loss align 0.0000
 epoch [0000 / 0050] [1209/4485] eta: 0 Days 8:5:6          lr: 	1.0000E-08 loss: 	3.54767 loss align 0.0000
 epoch [0000 / 0050] [1309/4485] eta: 0 Days 7:56:47        lr: 	1.0000E-08 loss: 	3.54076 loss align 0.0000
 epoch [0000 / 0050] [1409/4485] eta: 0 Days 7:49:36        lr: 	1.0000E-08 loss: 	3.48895 loss align 0.0000
 epoch [0000 / 0050] [1509/4485] eta: 0 Days 7:43:22        lr: 	1.0000E-08 loss: 	3.44391 loss align 0.0000
 epoch [0000 / 0050] [1609/4485] eta: 0 Days 7:37:52        lr: 	1.0000E-08 loss: 	3.38789 loss align 0.0000
 epoch [0000 / 0050] [1709/4485] eta: 0 Days 7:33:0         lr: 	1.0000E-08 loss: 	3.34868 loss align 0.0000
 epoch [0000 / 0050] [1809/4485] eta: 0 Days 7:28:40        lr: 	1.0000E-08 loss: 	3.29765 loss align 0.0000
 epoch [0000 / 0050] [1909/4485] eta: 0 Days 7:24:46        lr: 	1.0000E-08 loss: 	3.24629 loss align 0.0000
 epoch [0000 / 0050] [2009/4485] eta: 0 Days 7:21:15        lr: 	1.0000E-08 loss: 	3.21527 loss align 0.0000
 epoch [0000 / 0050] [2109/4485] eta: 0 Days 7:18:1         lr: 	1.0000E-08 loss: 	3.18981 loss align 0.0000
 epoch [0000 / 0050] [2209/4485] eta: 0 Days 7:15:6         lr: 	1.0000E-08 loss: 	3.14545 loss align 0.0000
 epoch [0000 / 0050] [2309/4485] eta: 0 Days 7:12:14        lr: 	1.0000E-08 loss: 	3.09964 loss align 0.0000
 epoch [0000 / 0050] [2409/4485] eta: 0 Days 7:9:31         lr: 	1.0000E-08 loss: 	3.07709 loss align 0.0000
 epoch [0000 / 0050] [2509/4485] eta: 0 Days 7:7:1          lr: 	1.0000E-08 loss: 	3.04177 loss align 0.0000
 epoch [0000 / 0050] [2609/4485] eta: 0 Days 7:4:41         lr: 	1.0000E-08 loss: 	3.01687 loss align 0.0000
 epoch [0000 / 0050] [2709/4485] eta: 0 Days 7:2:31         lr: 	1.0000E-08 loss: 	2.99030 loss align 0.0000
 epoch [0000 / 0050] [2809/4485] eta: 0 Days 7:0:29         lr: 	1.0000E-08 loss: 	2.95201 loss align 0.0000
 epoch [0000 / 0050] [2909/4485] eta: 0 Days 6:58:35        lr: 	1.0000E-08 loss: 	2.92709 loss align 0.0000
 epoch [0000 / 0050] [3009/4485] eta: 0 Days 6:56:48        lr: 	1.0000E-08 loss: 	2.90163 loss align 0.0000
 epoch [0000 / 0050] [3109/4485] eta: 0 Days 6:55:7         lr: 	1.0000E-08 loss: 	2.87927 loss align 0.0000
 epoch [0000 / 0050] [3209/4485] eta: 0 Days 6:53:31        lr: 	1.0000E-08 loss: 	2.85402 loss align 0.0000
 epoch [0000 / 0050] [3309/4485] eta: 0 Days 6:52:1         lr: 	1.0000E-08 loss: 	2.82118 loss align 0.0000
 epoch [0000 / 0050] [3409/4485] eta: 0 Days 6:50:33        lr: 	1.0000E-08 loss: 	2.79711 loss align 0.0000
 epoch [0000 / 0050] [3509/4485] eta: 0 Days 6:49:10        lr: 	1.0000E-08 loss: 	2.77464 loss align 0.0000
 epoch [0000 / 0050] [3609/4485] eta: 0 Days 6:47:52        lr: 	1.0000E-08 loss: 	2.75315 loss align 0.0000
 epoch [0000 / 0050] [3709/4485] eta: 0 Days 6:46:38        lr: 	1.0000E-08 loss: 	2.73051 loss align 0.0000
 epoch [0000 / 0050] [3809/4485] eta: 0 Days 6:45:28        lr: 	1.0000E-08 loss: 	2.70866 loss align 0.0000
 epoch [0000 / 0050] [3909/4485] eta: 0 Days 6:44:21        lr: 	1.0000E-08 loss: 	2.68906 loss align 0.0000
 epoch [0000 / 0050] [4009/4485] eta: 0 Days 6:43:16        lr: 	1.0000E-08 loss: 	2.67040 loss align 0.0000
 epoch [0000 / 0050] [4109/4485] eta: 0 Days 6:42:15        lr: 	1.0000E-08 loss: 	2.64771 loss align 0.0000
 epoch [0000 / 0050] [4209/4485] eta: 0 Days 6:41:16        lr: 	1.0000E-08 loss: 	2.62826 loss align 0.0000
 epoch [0000 / 0050] [4309/4485] eta: 0 Days 6:40:20        lr: 	1.0000E-08 loss: 	2.61246 loss align 0.0000
 epoch [0000 / 0050] [4409/4485] eta: 0 Days 6:39:26        lr: 	1.0000E-08 loss: 	2.59703 loss align 0.0000
1
