Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.layer_norm.weight', 'lm_head.bias', 'lm_head.decoder.weight', 'lm_head.dense.weight', 'lm_head.dense.bias', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.29150
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 10 Days 2:42:26       lr: 	1.0000E-04 loss: 	5.44635 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 4:21:53        lr: 	1.0000E-04 loss: 	5.01852 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 18:10:13       lr: 	1.0000E-04 loss: 	3.86467 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 14:33:19       lr: 	1.0000E-04 loss: 	3.13619 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 12:42:15       lr: 	1.0000E-04 loss: 	2.77311 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 11:34:52       lr: 	1.0000E-04 loss: 	2.59171 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 10:49:43       lr: 	1.0000E-04 loss: 	2.47895 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 10:17:22       lr: 	1.0000E-04 loss: 	2.52832 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 9:52:50        lr: 	1.0000E-04 loss: 	2.45383 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 9:33:49        lr: 	1.0000E-04 loss: 	2.40240 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 9:18:33        lr: 	1.0000E-04 loss: 	2.35796 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 9:5:57         lr: 	1.0000E-04 loss: 	2.30646 loss align 0.0000
