Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.bias', 'lm_head.bias', 'lm_head.decoder.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.seq_relationship.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.09914
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 14 Days 14:21:59      lr: 	1.0000E-05 loss: 	7.81106 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 1 Days 20:21:47       lr: 	1.0000E-05 loss: 	2.87350 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 5:48:37        lr: 	1.0000E-05 loss: 	2.68297 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 0:37:41        lr: 	1.0000E-05 loss: 	2.76870 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 0 Days 21:59:35       lr: 	1.0000E-05 loss: 	2.57042 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 20:22:36       lr: 	1.0000E-05 loss: 	2.55689 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 19:17:49       lr: 	1.0000E-05 loss: 	2.45817 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 18:31:22       lr: 	1.0000E-05 loss: 	2.51975 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 17:56:6        lr: 	1.0000E-05 loss: 	2.55315 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 17:28:51       lr: 	1.0000E-05 loss: 	2.52336 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 17:6:51        lr: 	1.0000E-05 loss: 	2.51469 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 16:48:26       lr: 	1.0000E-05 loss: 	2.46317 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 16:33:4        lr: 	1.0000E-05 loss: 	2.43453 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 16:19:50       lr: 	1.0000E-05 loss: 	2.39897 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 16:9:0         lr: 	1.0000E-05 loss: 	2.36752 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 15:59:12       lr: 	1.0000E-05 loss: 	2.36081 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 15:49:58       lr: 	1.0000E-05 loss: 	2.34115 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 15:41:33       lr: 	1.0000E-05 loss: 	2.34685 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 15:34:4        lr: 	1.0000E-05 loss: 	2.34313 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 15:27:19       lr: 	1.0000E-05 loss: 	2.34715 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 15:21:12       lr: 	1.0000E-05 loss: 	2.33690 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 15:15:33       lr: 	1.0000E-05 loss: 	2.31705 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 15:10:33       lr: 	1.0000E-05 loss: 	2.30833 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 15:5:56        lr: 	1.0000E-05 loss: 	2.30280 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 15:1:31        lr: 	1.0000E-05 loss: 	2.30419 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 14:57:32       lr: 	1.0000E-05 loss: 	2.30316 loss align 0.0000
 epoch [0000 / 0050] [2609/4278] eta: 0 Days 14:53:49       lr: 	1.0000E-05 loss: 	2.27588 loss align 0.0000
 epoch [0000 / 0050] [2709/4278] eta: 0 Days 14:50:23       lr: 	1.0000E-05 loss: 	2.27259 loss align 0.0000
 epoch [0000 / 0050] [2809/4278] eta: 0 Days 14:47:8        lr: 	1.0000E-05 loss: 	2.26282 loss align 0.0000
 epoch [0000 / 0050] [2909/4278] eta: 0 Days 14:44:3        lr: 	1.0000E-05 loss: 	2.26782 loss align 0.0000
 epoch [0000 / 0050] [3009/4278] eta: 0 Days 14:41:7        lr: 	1.0000E-05 loss: 	2.29297 loss align 0.0000
 epoch [0000 / 0050] [3109/4278] eta: 0 Days 14:38:20       lr: 	1.0000E-05 loss: 	2.29020 loss align 0.0000
 epoch [0000 / 0050] [3209/4278] eta: 0 Days 14:35:42       lr: 	1.0000E-05 loss: 	2.27657 loss align 0.0000
 epoch [0000 / 0050] [3309/4278] eta: 0 Days 14:33:16       lr: 	1.0000E-05 loss: 	2.28232 loss align 0.0000
 epoch [0000 / 0050] [3409/4278] eta: 0 Days 14:30:57       lr: 	1.0000E-05 loss: 	2.28044 loss align 0.0000
 epoch [0000 / 0050] [3509/4278] eta: 0 Days 14:28:40       lr: 	1.0000E-05 loss: 	2.27452 loss align 0.0000
 epoch [0000 / 0050] [3609/4278] eta: 0 Days 14:26:37       lr: 	1.0000E-05 loss: 	2.26116 loss align 0.0000
 epoch [0000 / 0050] [3709/4278] eta: 0 Days 14:24:36       lr: 	1.0000E-05 loss: 	2.26235 loss align 0.0000
 epoch [0000 / 0050] [3809/4278] eta: 0 Days 14:22:37       lr: 	1.0000E-05 loss: 	2.26518 loss align 0.0000
 epoch [0000 / 0050] [3909/4278] eta: 0 Days 14:20:54       lr: 	1.0000E-05 loss: 	2.26864 loss align 0.0000
 epoch [0000 / 0050] [4009/4278] eta: 0 Days 14:19:10       lr: 	1.0000E-05 loss: 	2.25604 loss align 0.0000
