Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.bias', 'lm_head.decoder.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.weight', 'lm_head.dense.bias', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.decoder.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.22809
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 9 Days 20:34:11       lr: 	1.0000E-05 loss: 	2.89542 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 3:34:38        lr: 	1.0000E-05 loss: 	1.95983 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 17:36:5        lr: 	1.0000E-05 loss: 	1.93856 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 14:1:39        lr: 	1.0000E-05 loss: 	1.72178 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 12:11:49       lr: 	1.0000E-05 loss: 	1.56705 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 11:4:58        lr: 	1.0000E-05 loss: 	1.59872 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 10:20:2        lr: 	1.0000E-05 loss: 	1.67278 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 9:47:45        lr: 	1.0000E-05 loss: 	1.75051 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 9:23:27        lr: 	1.0000E-05 loss: 	1.70057 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 9:4:58         lr: 	1.0000E-05 loss: 	1.72088 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 8:50:22        lr: 	1.0000E-05 loss: 	1.73472 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 8:38:22        lr: 	1.0000E-05 loss: 	1.72413 loss align 0.0000
 epoch [0000 / 0050] [1209/4485] eta: 0 Days 8:28:20        lr: 	1.0000E-05 loss: 	1.71480 loss align 0.0000
 epoch [0000 / 0050] [1309/4485] eta: 0 Days 8:19:47        lr: 	1.0000E-05 loss: 	1.71608 loss align 0.0000
 epoch [0000 / 0050] [1409/4485] eta: 0 Days 8:12:26        lr: 	1.0000E-05 loss: 	1.70690 loss align 0.0000
 epoch [0000 / 0050] [1509/4485] eta: 0 Days 8:6:4          lr: 	1.0000E-05 loss: 	1.68723 loss align 0.0000
 epoch [0000 / 0050] [1609/4485] eta: 0 Days 8:0:30         lr: 	1.0000E-05 loss: 	1.66776 loss align 0.0000
 epoch [0000 / 0050] [1709/4485] eta: 0 Days 7:55:33        lr: 	1.0000E-05 loss: 	1.66728 loss align 0.0000
 epoch [0000 / 0050] [1809/4485] eta: 0 Days 7:51:5         lr: 	1.0000E-05 loss: 	1.66112 loss align 0.0000
 epoch [0000 / 0050] [1909/4485] eta: 0 Days 7:47:6         lr: 	1.0000E-05 loss: 	1.64913 loss align 0.0000
 epoch [0000 / 0050] [2009/4485] eta: 0 Days 7:43:26        lr: 	1.0000E-05 loss: 	1.63584 loss align 0.0000
 epoch [0000 / 0050] [2109/4485] eta: 0 Days 7:40:11        lr: 	1.0000E-05 loss: 	1.66011 loss align 0.0000
 epoch [0000 / 0050] [2209/4485] eta: 0 Days 7:37:14        lr: 	1.0000E-05 loss: 	1.63990 loss align 0.0000
 epoch [0000 / 0050] [2309/4485] eta: 0 Days 7:34:16        lr: 	1.0000E-05 loss: 	1.63573 loss align 0.0000
 epoch [0000 / 0050] [2409/4485] eta: 0 Days 7:31:26        lr: 	1.0000E-05 loss: 	1.64677 loss align 0.0000
 epoch [0000 / 0050] [2509/4485] eta: 0 Days 7:28:51        lr: 	1.0000E-05 loss: 	1.63658 loss align 0.0000
 epoch [0000 / 0050] [2609/4485] eta: 0 Days 7:26:28        lr: 	1.0000E-05 loss: 	1.64428 loss align 0.0000
 epoch [0000 / 0050] [2709/4485] eta: 0 Days 7:24:13        lr: 	1.0000E-05 loss: 	1.64628 loss align 0.0000
