Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.bias', 'lm_head.dense.weight', 'lm_head.decoder.weight', 'lm_head.layer_norm.weight', 'lm_head.bias', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	2.53743
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 9 Days 21:8:6         lr: 	1.0000E-05 loss: 	4.10956 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 3:39:49        lr: 	1.0000E-05 loss: 	1.84870 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 17:41:31       lr: 	1.0000E-05 loss: 	1.87193 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 14:9:17        lr: 	1.0000E-05 loss: 	1.88177 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 12:20:33       lr: 	1.0000E-05 loss: 	1.82508 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 11:14:26       lr: 	1.0000E-05 loss: 	1.84365 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 10:29:51       lr: 	1.0000E-05 loss: 	1.79688 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 9:57:30        lr: 	1.0000E-05 loss: 	1.75213 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 9:33:6         lr: 	1.0000E-05 loss: 	1.76156 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 9:14:4         lr: 	1.0000E-05 loss: 	1.76007 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 8:58:45        lr: 	1.0000E-05 loss: 	1.73187 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 8:46:9         lr: 	1.0000E-05 loss: 	1.75928 loss align 0.0000
 epoch [0000 / 0050] [1209/4485] eta: 0 Days 8:35:39        lr: 	1.0000E-05 loss: 	1.72227 loss align 0.0000
 epoch [0000 / 0050] [1309/4485] eta: 0 Days 8:26:45        lr: 	1.0000E-05 loss: 	1.71176 loss align 0.0000
 epoch [0000 / 0050] [1409/4485] eta: 0 Days 8:19:9         lr: 	1.0000E-05 loss: 	1.67870 loss align 0.0000
 epoch [0000 / 0050] [1509/4485] eta: 0 Days 8:12:29        lr: 	1.0000E-05 loss: 	1.64112 loss align 0.0000
 epoch [0000 / 0050] [1609/4485] eta: 0 Days 8:6:38         lr: 	1.0000E-05 loss: 	1.65281 loss align 0.0000
 epoch [0000 / 0050] [1709/4485] eta: 0 Days 8:1:26         lr: 	1.0000E-05 loss: 	1.63333 loss align 0.0000
 epoch [0000 / 0050] [1809/4485] eta: 0 Days 7:56:49        lr: 	1.0000E-05 loss: 	1.65341 loss align 0.0000
 epoch [0000 / 0050] [1909/4485] eta: 0 Days 7:52:39        lr: 	1.0000E-05 loss: 	1.64809 loss align 0.0000
 epoch [0000 / 0050] [2009/4485] eta: 0 Days 7:48:54        lr: 	1.0000E-05 loss: 	1.63586 loss align 0.0000
 epoch [0000 / 0050] [2109/4485] eta: 0 Days 7:45:30        lr: 	1.0000E-05 loss: 	1.62031 loss align 0.0000
 epoch [0000 / 0050] [2209/4485] eta: 0 Days 7:42:25        lr: 	1.0000E-05 loss: 	1.62150 loss align 0.0000
 epoch [0000 / 0050] [2309/4485] eta: 0 Days 7:39:21        lr: 	1.0000E-05 loss: 	1.61689 loss align 0.0000
 epoch [0000 / 0050] [2409/4485] eta: 0 Days 7:36:27        lr: 	1.0000E-05 loss: 	1.59445 loss align 0.0000
 epoch [0000 / 0050] [2509/4485] eta: 0 Days 7:33:45        lr: 	1.0000E-05 loss: 	1.59993 loss align 0.0000
 epoch [0000 / 0050] [2609/4485] eta: 0 Days 7:31:15        lr: 	1.0000E-05 loss: 	1.60747 loss align 0.0000
 epoch [0000 / 0050] [2709/4485] eta: 0 Days 7:28:56        lr: 	1.0000E-05 loss: 	1.59496 loss align 0.0000
 epoch [0000 / 0050] [2809/4485] eta: 0 Days 7:26:45        lr: 	1.0000E-05 loss: 	1.60278 loss align 0.0000
 epoch [0000 / 0050] [2909/4485] eta: 0 Days 7:24:43        lr: 	1.0000E-05 loss: 	1.60138 loss align 0.0000
 epoch [0000 / 0050] [3009/4485] eta: 0 Days 7:22:48        lr: 	1.0000E-05 loss: 	1.61442 loss align 0.0000
 epoch [0000 / 0050] [3109/4485] eta: 0 Days 7:21:0         lr: 	1.0000E-05 loss: 	1.61641 loss align 0.0000
 epoch [0000 / 0050] [3209/4485] eta: 0 Days 7:19:18        lr: 	1.0000E-05 loss: 	1.61307 loss align 0.0000
 epoch [0000 / 0050] [3309/4485] eta: 0 Days 7:17:42        lr: 	1.0000E-05 loss: 	1.60476 loss align 0.0000
 epoch [0000 / 0050] [3409/4485] eta: 0 Days 7:16:10        lr: 	1.0000E-05 loss: 	1.60524 loss align 0.0000
 epoch [0000 / 0050] [3509/4485] eta: 0 Days 7:14:43        lr: 	1.0000E-05 loss: 	1.60884 loss align 0.0000
 epoch [0000 / 0050] [3609/4485] eta: 0 Days 7:13:20        lr: 	1.0000E-05 loss: 	1.61334 loss align 0.0000
 epoch [0000 / 0050] [3709/4485] eta: 0 Days 7:12:1         lr: 	1.0000E-05 loss: 	1.61178 loss align 0.0000
 epoch [0000 / 0050] [3809/4485] eta: 0 Days 7:10:46        lr: 	1.0000E-05 loss: 	1.61332 loss align 0.0000
