Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.decoder.weight', 'lm_head.layer_norm.bias', 'lm_head.layer_norm.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	5.39896
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 15 Days 5:0:58        lr: 	1.0000E-04 loss: 	9.56715 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 1 Days 22:6:42        lr: 	1.0000E-04 loss: 	4.38737 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 6:56:13        lr: 	1.0000E-04 loss: 	3.76391 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 1:34:51        lr: 	1.0000E-04 loss: 	3.60718 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 0 Days 22:48:32       lr: 	1.0000E-04 loss: 	3.40244 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 21:6:55        lr: 	1.0000E-04 loss: 	3.50294 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 19:59:16       lr: 	1.0000E-04 loss: 	3.32096 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 19:10:32       lr: 	1.0000E-04 loss: 	3.20927 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 18:34:1        lr: 	1.0000E-04 loss: 	3.16039 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 18:5:20        lr: 	1.0000E-04 loss: 	3.05468 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 17:42:20       lr: 	1.0000E-04 loss: 	2.95666 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 17:23:15       lr: 	1.0000E-04 loss: 	2.93616 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 17:7:16        lr: 	1.0000E-04 loss: 	2.89088 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 16:54:0        lr: 	1.0000E-04 loss: 	2.87108 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 16:42:34       lr: 	1.0000E-04 loss: 	2.83895 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 16:32:25       lr: 	1.0000E-04 loss: 	2.86179 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 16:22:31       lr: 	1.0000E-04 loss: 	2.83236 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 16:13:52       lr: 	1.0000E-04 loss: 	2.79086 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 16:5:51        lr: 	1.0000E-04 loss: 	2.82941 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 15:58:59       lr: 	1.0000E-04 loss: 	2.84257 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 15:52:18       lr: 	1.0000E-04 loss: 	2.79849 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 15:46:21       lr: 	1.0000E-04 loss: 	2.81942 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 15:40:46       lr: 	1.0000E-04 loss: 	2.78270 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 15:35:52       lr: 	1.0000E-04 loss: 	2.79974 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 15:31:10       lr: 	1.0000E-04 loss: 	2.79047 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 15:26:55       lr: 	1.0000E-04 loss: 	2.78456 loss align 0.0000
 epoch [0000 / 0050] [2609/4278] eta: 0 Days 15:23:2        lr: 	1.0000E-04 loss: 	2.76623 loss align 0.0000
 epoch [0000 / 0050] [2709/4278] eta: 0 Days 15:19:28       lr: 	1.0000E-04 loss: 	2.75423 loss align 0.0000
 epoch [0000 / 0050] [2809/4278] eta: 0 Days 15:16:5        lr: 	1.0000E-04 loss: 	2.75471 loss align 0.0000
 epoch [0000 / 0050] [2909/4278] eta: 0 Days 15:12:47       lr: 	1.0000E-04 loss: 	2.73967 loss align 0.0000
 epoch [0000 / 0050] [3009/4278] eta: 0 Days 15:9:46        lr: 	1.0000E-04 loss: 	2.73351 loss align 0.0000
 epoch [0000 / 0050] [3109/4278] eta: 0 Days 15:6:54        lr: 	1.0000E-04 loss: 	2.72777 loss align 0.0000
 epoch [0000 / 0050] [3209/4278] eta: 0 Days 15:4:15        lr: 	1.0000E-04 loss: 	2.72799 loss align 0.0000
 epoch [0000 / 0050] [3309/4278] eta: 0 Days 15:1:40        lr: 	1.0000E-04 loss: 	2.72608 loss align 0.0000
 epoch [0000 / 0050] [3409/4278] eta: 0 Days 14:59:14       lr: 	1.0000E-04 loss: 	2.71928 loss align 0.0000
 epoch [0000 / 0050] [3509/4278] eta: 0 Days 14:56:48       lr: 	1.0000E-04 loss: 	2.70834 loss align 0.0000
 epoch [0000 / 0050] [3609/4278] eta: 0 Days 14:54:37       lr: 	1.0000E-04 loss: 	2.69724 loss align 0.0000
 epoch [0000 / 0050] [3709/4278] eta: 0 Days 14:52:27       lr: 	1.0000E-04 loss: 	2.71555 loss align 0.0000
 epoch [0000 / 0050] [3809/4278] eta: 0 Days 14:50:32       lr: 	1.0000E-04 loss: 	2.70327 loss align 0.0000
 epoch [0000 / 0050] [3909/4278] eta: 0 Days 14:48:34       lr: 	1.0000E-04 loss: 	2.70638 loss align 0.0000
 epoch [0000 / 0050] [4009/4278] eta: 0 Days 14:46:37       lr: 	1.0000E-04 loss: 	2.70378 loss align 0.0000
 epoch [0000 / 0050] [4109/4278] eta: 0 Days 14:44:52       lr: 	1.0000E-04 loss: 	2.70249 loss align 0.0000
 epoch [0000 / 0050] [4209/4278] eta: 0 Days 14:43:12       lr: 	1.0000E-04 loss: 	2.69898 loss align 0.0000
1
starting val epoch 1
val [0001 / 0050] validation loss: 	2.08148
checkpoint
starting train epoch 1
 epoch [0001 / 0050] [0009/4278] eta: 0 Days 15:20:12       lr: 	1.0000E-04 loss: 	1.30904 loss align 0.0000
 epoch [0001 / 0050] [0109/4278] eta: 0 Days 15:17:18       lr: 	1.0000E-04 loss: 	2.84246 loss align 0.0000
 epoch [0001 / 0050] [0209/4278] eta: 0 Days 15:14:37       lr: 	1.0000E-04 loss: 	2.55946 loss align 0.0000
 epoch [0001 / 0050] [0309/4278] eta: 0 Days 15:12:0        lr: 	1.0000E-04 loss: 	2.40138 loss align 0.0000
 epoch [0001 / 0050] [0409/4278] eta: 0 Days 15:9:32        lr: 	1.0000E-04 loss: 	2.88567 loss align 0.0000
 epoch [0001 / 0050] [0509/4278] eta: 0 Days 15:7:12        lr: 	1.0000E-04 loss: 	2.85435 loss align 0.0000
 epoch [0001 / 0050] [0609/4278] eta: 0 Days 15:4:50        lr: 	1.0000E-04 loss: 	2.81559 loss align 0.0000
 epoch [0001 / 0050] [0709/4278] eta: 0 Days 15:2:39        lr: 	1.0000E-04 loss: 	2.77558 loss align 0.0000
 epoch [0001 / 0050] [0809/4278] eta: 0 Days 15:0:27        lr: 	1.0000E-04 loss: 	2.71676 loss align 0.0000
 epoch [0001 / 0050] [0909/4278] eta: 0 Days 14:58:20       lr: 	1.0000E-04 loss: 	2.65042 loss align 0.0000
 epoch [0001 / 0050] [1009/4278] eta: 0 Days 14:56:18       lr: 	1.0000E-04 loss: 	2.61974 loss align 0.0000
 epoch [0001 / 0050] [1109/4278] eta: 0 Days 14:54:18       lr: 	1.0000E-04 loss: 	2.63817 loss align 0.0000
 epoch [0001 / 0050] [1209/4278] eta: 0 Days 14:52:22       lr: 	1.0000E-04 loss: 	2.58833 loss align 0.0000
 epoch [0001 / 0050] [1309/4278] eta: 0 Days 14:50:32       lr: 	1.0000E-04 loss: 	2.66664 loss align 0.0000
 epoch [0001 / 0050] [1409/4278] eta: 0 Days 14:48:45       lr: 	1.0000E-04 loss: 	2.66111 loss align 0.0000
 epoch [0001 / 0050] [1509/4278] eta: 0 Days 14:46:59       lr: 	1.0000E-04 loss: 	2.64573 loss align 0.0000
 epoch [0001 / 0050] [1609/4278] eta: 0 Days 14:45:13       lr: 	1.0000E-04 loss: 	2.63474 loss align 0.0000
 epoch [0001 / 0050] [1709/4278] eta: 0 Days 14:43:35       lr: 	1.0000E-04 loss: 	2.61245 loss align 0.0000
 epoch [0001 / 0050] [1809/4278] eta: 0 Days 14:41:59       lr: 	1.0000E-04 loss: 	2.59057 loss align 0.0000
 epoch [0001 / 0050] [1909/4278] eta: 0 Days 14:40:26       lr: 	1.0000E-04 loss: 	2.55814 loss align 0.0000
 epoch [0001 / 0050] [2009/4278] eta: 0 Days 14:38:55       lr: 	1.0000E-04 loss: 	2.53873 loss align 0.0000
 epoch [0001 / 0050] [2109/4278] eta: 0 Days 14:37:25       lr: 	1.0000E-04 loss: 	2.53606 loss align 0.0000
 epoch [0001 / 0050] [2209/4278] eta: 0 Days 14:36:2        lr: 	1.0000E-04 loss: 	2.55754 loss align 0.0000
 epoch [0001 / 0050] [2309/4278] eta: 0 Days 14:34:36       lr: 	1.0000E-04 loss: 	2.55462 loss align 0.0000
 epoch [0001 / 0050] [2409/4278] eta: 0 Days 14:33:13       lr: 	1.0000E-04 loss: 	2.54694 loss align 0.0000
 epoch [0001 / 0050] [2509/4278] eta: 0 Days 14:31:53       lr: 	1.0000E-04 loss: 	2.55580 loss align 0.0000
 epoch [0001 / 0050] [2609/4278] eta: 0 Days 14:30:31       lr: 	1.0000E-04 loss: 	2.54767 loss align 0.0000
 epoch [0001 / 0050] [2709/4278] eta: 0 Days 14:29:11       lr: 	1.0000E-04 loss: 	2.53993 loss align 0.0000
 epoch [0001 / 0050] [2809/4278] eta: 0 Days 14:27:55       lr: 	1.0000E-04 loss: 	2.53161 loss align 0.0000
 epoch [0001 / 0050] [2909/4278] eta: 0 Days 14:26:38       lr: 	1.0000E-04 loss: 	2.52808 loss align 0.0000
 epoch [0001 / 0050] [3009/4278] eta: 0 Days 14:25:24       lr: 	1.0000E-04 loss: 	2.52781 loss align 0.0000
 epoch [0001 / 0050] [3109/4278] eta: 0 Days 14:24:12       lr: 	1.0000E-04 loss: 	2.54290 loss align 0.0000
 epoch [0001 / 0050] [3209/4278] eta: 0 Days 14:23:1        lr: 	1.0000E-04 loss: 	2.57024 loss align 0.0000
 epoch [0001 / 0050] [3309/4278] eta: 0 Days 14:21:52       lr: 	1.0000E-04 loss: 	2.55973 loss align 0.0000
 epoch [0001 / 0050] [3409/4278] eta: 0 Days 14:20:43       lr: 	1.0000E-04 loss: 	2.55092 loss align 0.0000
 epoch [0001 / 0050] [3509/4278] eta: 0 Days 14:19:36       lr: 	1.0000E-04 loss: 	2.55063 loss align 0.0000
 epoch [0001 / 0050] [3609/4278] eta: 0 Days 14:18:29       lr: 	1.0000E-04 loss: 	2.54882 loss align 0.0000
 epoch [0001 / 0050] [3709/4278] eta: 0 Days 14:17:25       lr: 	1.0000E-04 loss: 	2.55952 loss align 0.0000
 epoch [0001 / 0050] [3809/4278] eta: 0 Days 14:16:23       lr: 	1.0000E-04 loss: 	2.57005 loss align 0.0000
 epoch [0001 / 0050] [3909/4278] eta: 0 Days 14:15:20       lr: 	1.0000E-04 loss: 	2.56652 loss align 0.0000
 epoch [0001 / 0050] [4009/4278] eta: 0 Days 14:14:20       lr: 	1.0000E-04 loss: 	2.56270 loss align 0.0000
