Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.bias', 'lm_head.layer_norm.bias', 'lm_head.bias', 'lm_head.decoder.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.seq_relationship.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.09914
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 15 Days 4:34:30       lr: 	1.0000E-06 loss: 	9.75076 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 1 Days 21:27:25       lr: 	1.0000E-06 loss: 	3.06599 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 6:16:5         lr: 	1.0000E-06 loss: 	2.60144 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 0:51:33        lr: 	1.0000E-06 loss: 	2.61019 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 0 Days 22:6:27        lr: 	1.0000E-06 loss: 	2.45088 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 20:25:20       lr: 	1.0000E-06 loss: 	2.34900 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 19:17:0        lr: 	1.0000E-06 loss: 	2.22360 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 18:28:9        lr: 	1.0000E-06 loss: 	2.29432 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 17:51:38       lr: 	1.0000E-06 loss: 	2.28449 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 17:23:19       lr: 	1.0000E-06 loss: 	2.27551 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 17:0:24        lr: 	1.0000E-06 loss: 	2.24585 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 16:41:18       lr: 	1.0000E-06 loss: 	2.21074 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 16:25:23       lr: 	1.0000E-06 loss: 	2.17406 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 16:11:35       lr: 	1.0000E-06 loss: 	2.15820 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 15:59:58       lr: 	1.0000E-06 loss: 	2.12182 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 15:49:36       lr: 	1.0000E-06 loss: 	2.10916 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 15:40:6        lr: 	1.0000E-06 loss: 	2.09947 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 15:31:38       lr: 	1.0000E-06 loss: 	2.10442 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 15:23:54       lr: 	1.0000E-06 loss: 	2.09717 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 15:16:56       lr: 	1.0000E-06 loss: 	2.11102 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 15:10:37       lr: 	1.0000E-06 loss: 	2.10374 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 15:4:48        lr: 	1.0000E-06 loss: 	2.07828 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 14:59:19       lr: 	1.0000E-06 loss: 	2.06750 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 14:54:13       lr: 	1.0000E-06 loss: 	2.07315 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 14:49:38       lr: 	1.0000E-06 loss: 	2.06163 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 14:45:34       lr: 	1.0000E-06 loss: 	2.06032 loss align 0.0000
 epoch [0000 / 0050] [2609/4278] eta: 0 Days 14:41:44       lr: 	1.0000E-06 loss: 	2.03427 loss align 0.0000
 epoch [0000 / 0050] [2709/4278] eta: 0 Days 14:38:11       lr: 	1.0000E-06 loss: 	2.02988 loss align 0.0000
 epoch [0000 / 0050] [2809/4278] eta: 0 Days 14:34:49       lr: 	1.0000E-06 loss: 	2.01741 loss align 0.0000
 epoch [0000 / 0050] [2909/4278] eta: 0 Days 14:31:43       lr: 	1.0000E-06 loss: 	2.02309 loss align 0.0000
 epoch [0000 / 0050] [3009/4278] eta: 0 Days 14:28:32       lr: 	1.0000E-06 loss: 	2.03589 loss align 0.0000
 epoch [0000 / 0050] [3109/4278] eta: 0 Days 14:25:30       lr: 	1.0000E-06 loss: 	2.03380 loss align 0.0000
 epoch [0000 / 0050] [3209/4278] eta: 0 Days 14:22:46       lr: 	1.0000E-06 loss: 	2.01719 loss align 0.0000
 epoch [0000 / 0050] [3309/4278] eta: 0 Days 14:20:22       lr: 	1.0000E-06 loss: 	2.03342 loss align 0.0000
 epoch [0000 / 0050] [3409/4278] eta: 0 Days 14:18:1        lr: 	1.0000E-06 loss: 	2.03850 loss align 0.0000
 epoch [0000 / 0050] [3509/4278] eta: 0 Days 14:15:42       lr: 	1.0000E-06 loss: 	2.03042 loss align 0.0000
 epoch [0000 / 0050] [3609/4278] eta: 0 Days 14:13:38       lr: 	1.0000E-06 loss: 	2.02279 loss align 0.0000
 epoch [0000 / 0050] [3709/4278] eta: 0 Days 14:11:34       lr: 	1.0000E-06 loss: 	2.02308 loss align 0.0000
