Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.layer_norm.bias', 'lm_head.layer_norm.weight', 'lm_head.bias', 'lm_head.dense.weight', 'lm_head.dense.bias', 'lm_head.decoder.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	5.46836
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 15 Days 17:20:37      lr: 	1.0000E-03 loss: 	86.78938 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 2 Days 0:40:43        lr: 	1.0000E-03 loss: 	22.83020 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 9:2:11         lr: 	1.0000E-03 loss: 	18.71804 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 3:30:37        lr: 	1.0000E-03 loss: 	16.56650 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 1 Days 0:39:8         lr: 	1.0000E-03 loss: 	17.69870 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 22:54:28       lr: 	1.0000E-03 loss: 	16.74400 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 21:45:9        lr: 	1.0000E-03 loss: 	16.24512 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 20:54:30       lr: 	1.0000E-03 loss: 	15.73304 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 20:16:38       lr: 	1.0000E-03 loss: 	17.28526 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 19:46:50       lr: 	1.0000E-03 loss: 	16.70059 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 19:22:54       lr: 	1.0000E-03 loss: 	15.79502 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 19:3:24        lr: 	1.0000E-03 loss: 	15.26515 loss align 0.0000
 epoch [0000 / 0050] [1209/4278] eta: 0 Days 18:46:55       lr: 	1.0000E-03 loss: 	14.61499 loss align 0.0000
 epoch [0000 / 0050] [1309/4278] eta: 0 Days 18:33:19       lr: 	1.0000E-03 loss: 	13.95943 loss align 0.0000
 epoch [0000 / 0050] [1409/4278] eta: 0 Days 18:21:34       lr: 	1.0000E-03 loss: 	13.47445 loss align 0.0000
 epoch [0000 / 0050] [1509/4278] eta: 0 Days 18:11:7        lr: 	1.0000E-03 loss: 	12.95735 loss align 0.0000
 epoch [0000 / 0050] [1609/4278] eta: 0 Days 18:1:20        lr: 	1.0000E-03 loss: 	12.67288 loss align 0.0000
 epoch [0000 / 0050] [1709/4278] eta: 0 Days 17:52:37       lr: 	1.0000E-03 loss: 	12.24730 loss align 0.0000
 epoch [0000 / 0050] [1809/4278] eta: 0 Days 17:44:24       lr: 	1.0000E-03 loss: 	11.81260 loss align 0.0000
 epoch [0000 / 0050] [1909/4278] eta: 0 Days 17:37:18       lr: 	1.0000E-03 loss: 	11.47704 loss align 0.0000
 epoch [0000 / 0050] [2009/4278] eta: 0 Days 17:30:36       lr: 	1.0000E-03 loss: 	11.18363 loss align 0.0000
 epoch [0000 / 0050] [2109/4278] eta: 0 Days 17:24:29       lr: 	1.0000E-03 loss: 	10.91963 loss align 0.0000
 epoch [0000 / 0050] [2209/4278] eta: 0 Days 17:18:53       lr: 	1.0000E-03 loss: 	10.55565 loss align 0.0000
 epoch [0000 / 0050] [2309/4278] eta: 0 Days 17:13:51       lr: 	1.0000E-03 loss: 	10.34102 loss align 0.0000
 epoch [0000 / 0050] [2409/4278] eta: 0 Days 17:9:0         lr: 	1.0000E-03 loss: 	10.05421 loss align 0.0000
 epoch [0000 / 0050] [2509/4278] eta: 0 Days 17:4:38        lr: 	1.0000E-03 loss: 	9.83269 loss align 0.0000
 epoch [0000 / 0050] [2609/4278] eta: 0 Days 17:0:37        lr: 	1.0000E-03 loss: 	9.63728 loss align 0.0000
 epoch [0000 / 0050] [2709/4278] eta: 0 Days 16:56:50       lr: 	1.0000E-03 loss: 	9.41216 loss align 0.0000
 epoch [0000 / 0050] [2809/4278] eta: 0 Days 16:53:17       lr: 	1.0000E-03 loss: 	34.31734 loss align 0.0000
 epoch [0000 / 0050] [2909/4278] eta: 0 Days 16:49:55       lr: 	1.0000E-03 loss: 	35.79258 loss align 0.0000
 epoch [0000 / 0050] [3009/4278] eta: 0 Days 16:46:51       lr: 	1.0000E-03 loss: 	34.78255 loss align 0.0000
 epoch [0000 / 0050] [3109/4278] eta: 0 Days 16:43:54       lr: 	1.0000E-03 loss: 	33.79591 loss align 0.0000
 epoch [0000 / 0050] [3209/4278] eta: 0 Days 16:41:7        lr: 	1.0000E-03 loss: 	32.88710 loss align 0.0000
 epoch [0000 / 0050] [3309/4278] eta: 0 Days 16:38:27       lr: 	1.0000E-03 loss: 	32.04460 loss align 0.0000
 epoch [0000 / 0050] [3409/4278] eta: 0 Days 16:36:1        lr: 	1.0000E-03 loss: 	31.21206 loss align 0.0000
 epoch [0000 / 0050] [3509/4278] eta: 0 Days 16:33:37       lr: 	1.0000E-03 loss: 	30.41451 loss align 0.0000
 epoch [0000 / 0050] [3609/4278] eta: 0 Days 16:31:30       lr: 	1.0000E-03 loss: 	29.65060 loss align 0.0000
 epoch [0000 / 0050] [3709/4278] eta: 0 Days 16:29:16       lr: 	1.0000E-03 loss: 	28.95273 loss align 0.0000
 epoch [0000 / 0050] [3809/4278] eta: 0 Days 16:27:22       lr: 	1.0000E-03 loss: 	28.37520 loss align 0.0000
 epoch [0000 / 0050] [3909/4278] eta: 0 Days 16:25:24       lr: 	1.0000E-03 loss: 	27.72820 loss align 0.0000
 epoch [0000 / 0050] [4009/4278] eta: 0 Days 16:23:29       lr: 	1.0000E-03 loss: 	27.13950 loss align 0.0000
 epoch [0000 / 0050] [4109/4278] eta: 0 Days 16:21:39       lr: 	1.0000E-03 loss: 	26.56354 loss align 0.0000
 epoch [0000 / 0050] [4209/4278] eta: 0 Days 16:19:54       lr: 	1.0000E-03 loss: 	26.00161 loss align 0.0000
1
starting val epoch 1
val [0001 / 0050] validation loss: 	2.54639
starting train epoch 1
 epoch [0001 / 0050] [0009/4278] eta: 0 Days 16:57:40       lr: 	1.0000E-03 loss: 	1.38687 loss align 0.0000
 epoch [0001 / 0050] [0109/4278] eta: 0 Days 16:55:45       lr: 	1.0000E-03 loss: 	4.43424 loss align 0.0000
 epoch [0001 / 0050] [0209/4278] eta: 0 Days 16:54:2        lr: 	1.0000E-03 loss: 	3.92586 loss align 0.0000
 epoch [0001 / 0050] [0309/4278] eta: 0 Days 16:52:18       lr: 	1.0000E-03 loss: 	3.40362 loss align 0.0000
 epoch [0001 / 0050] [0409/4278] eta: 0 Days 16:50:40       lr: 	1.0000E-03 loss: 	3.81851 loss align 0.0000
 epoch [0001 / 0050] [0509/4278] eta: 0 Days 16:49:8        lr: 	1.0000E-03 loss: 	3.57752 loss align 0.0000
 epoch [0001 / 0050] [0609/4278] eta: 0 Days 16:47:31       lr: 	1.0000E-03 loss: 	3.62642 loss align 0.0000
 epoch [0001 / 0050] [0709/4278] eta: 0 Days 16:46:5        lr: 	1.0000E-03 loss: 	3.59068 loss align 0.0000
 epoch [0001 / 0050] [0809/4278] eta: 0 Days 16:44:33       lr: 	1.0000E-03 loss: 	3.51341 loss align 0.0000
 epoch [0001 / 0050] [0909/4278] eta: 0 Days 16:43:8        lr: 	1.0000E-03 loss: 	3.41881 loss align 0.0000
 epoch [0001 / 0050] [1009/4278] eta: 0 Days 16:41:45       lr: 	1.0000E-03 loss: 	3.41494 loss align 0.0000
 epoch [0001 / 0050] [1109/4278] eta: 0 Days 16:40:22       lr: 	1.0000E-03 loss: 	3.46913 loss align 0.0000
 epoch [0001 / 0050] [1209/4278] eta: 0 Days 16:39:4        lr: 	1.0000E-03 loss: 	3.41385 loss align 0.0000
 epoch [0001 / 0050] [1309/4278] eta: 0 Days 16:37:48       lr: 	1.0000E-03 loss: 	3.49559 loss align 0.0000
 epoch [0001 / 0050] [1409/4278] eta: 0 Days 16:36:35       lr: 	1.0000E-03 loss: 	3.54454 loss align 0.0000
