Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.weight', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight', 'lm_head.bias', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.decoder.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.29150
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 11 Days 23:7:9        lr: 	1.0000E-03 loss: 	122.53290 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 9:15:1         lr: 	1.0000E-03 loss: 	40.09099 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 21:9:58        lr: 	1.0000E-03 loss: 	37.58059 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 16:52:47       lr: 	1.0000E-03 loss: 	28.93724 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 14:41:24       lr: 	1.0000E-03 loss: 	26.47062 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 13:21:13       lr: 	1.0000E-03 loss: 	23.65041 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 12:27:16       lr: 	1.0000E-03 loss: 	21.54406 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 11:48:31       lr: 	1.0000E-03 loss: 	19.79209 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 11:19:16       lr: 	1.0000E-03 loss: 	18.39618 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 10:56:27       lr: 	1.0000E-03 loss: 	17.16935 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 10:38:7        lr: 	1.0000E-03 loss: 	15.86969 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 10:23:3        lr: 	1.0000E-03 loss: 	14.75852 loss align 0.0000
 epoch [0000 / 0050] [1209/4485] eta: 0 Days 10:10:27       lr: 	1.0000E-03 loss: 	14.09063 loss align 0.0000
 epoch [0000 / 0050] [1309/4485] eta: 0 Days 9:59:46        lr: 	1.0000E-03 loss: 	13.27244 loss align 0.0000
 epoch [0000 / 0050] [1409/4485] eta: 0 Days 9:50:37        lr: 	1.0000E-03 loss: 	12.79712 loss align 0.0000
 epoch [0000 / 0050] [1509/4485] eta: 0 Days 9:42:36        lr: 	1.0000E-03 loss: 	12.18080 loss align 0.0000
 epoch [0000 / 0050] [1609/4485] eta: 0 Days 9:35:34        lr: 	1.0000E-03 loss: 	11.65203 loss align 0.0000
 epoch [0000 / 0050] [1709/4485] eta: 0 Days 9:29:20        lr: 	1.0000E-03 loss: 	11.28548 loss align 0.0000
 epoch [0000 / 0050] [1809/4485] eta: 0 Days 9:23:47        lr: 	1.0000E-03 loss: 	10.83846 loss align 0.0000
 epoch [0000 / 0050] [1909/4485] eta: 0 Days 9:18:46        lr: 	1.0000E-03 loss: 	10.45048 loss align 0.0000
 epoch [0000 / 0050] [2009/4485] eta: 0 Days 9:14:13        lr: 	1.0000E-03 loss: 	10.05617 loss align 0.0000
 epoch [0000 / 0050] [2109/4485] eta: 0 Days 9:10:1         lr: 	1.0000E-03 loss: 	9.69071 loss align 0.0000
 epoch [0000 / 0050] [2209/4485] eta: 0 Days 9:6:9          lr: 	1.0000E-03 loss: 	9.36338 loss align 0.0000
 epoch [0000 / 0050] [2309/4485] eta: 0 Days 9:2:23         lr: 	1.0000E-03 loss: 	9.13459 loss align 0.0000
 epoch [0000 / 0050] [2409/4485] eta: 0 Days 8:58:45        lr: 	1.0000E-03 loss: 	8.87480 loss align 0.0000
 epoch [0000 / 0050] [2509/4485] eta: 0 Days 8:55:24        lr: 	1.0000E-03 loss: 	8.62959 loss align 0.0000
 epoch [0000 / 0050] [2609/4485] eta: 0 Days 8:52:16        lr: 	1.0000E-03 loss: 	8.38403 loss align 0.0000
 epoch [0000 / 0050] [2709/4485] eta: 0 Days 8:49:22        lr: 	1.0000E-03 loss: 	8.16020 loss align 0.0000
 epoch [0000 / 0050] [2809/4485] eta: 0 Days 8:46:39        lr: 	1.0000E-03 loss: 	7.92305 loss align 0.0000
 epoch [0000 / 0050] [2909/4485] eta: 0 Days 8:44:6         lr: 	1.0000E-03 loss: 	7.81925 loss align 0.0000
 epoch [0000 / 0050] [3009/4485] eta: 0 Days 8:41:43        lr: 	1.0000E-03 loss: 	7.65740 loss align 0.0000
 epoch [0000 / 0050] [3109/4485] eta: 0 Days 8:39:27        lr: 	1.0000E-03 loss: 	7.53928 loss align 0.0000
 epoch [0000 / 0050] [3209/4485] eta: 0 Days 8:37:19        lr: 	1.0000E-03 loss: 	7.41308 loss align 0.0000
 epoch [0000 / 0050] [3309/4485] eta: 0 Days 8:35:19        lr: 	1.0000E-03 loss: 	7.27758 loss align 0.0000
