Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.decoder.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.weight', 'lm_head.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.decoder.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.22809
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 13 Days 6:12:11       lr: 	1.0000E-04 loss: 	5.45049 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 12:7:22        lr: 	1.0000E-04 loss: 	4.90615 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 22:42:2        lr: 	1.0000E-04 loss: 	3.98392 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 17:56:25       lr: 	1.0000E-04 loss: 	3.23921 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 15:30:19       lr: 	1.0000E-04 loss: 	2.85848 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 14:1:23        lr: 	1.0000E-04 loss: 	2.66643 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 13:1:35        lr: 	1.0000E-04 loss: 	2.54733 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 12:18:35       lr: 	1.0000E-04 loss: 	2.58266 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 11:46:8        lr: 	1.0000E-04 loss: 	2.52097 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 11:20:49       lr: 	1.0000E-04 loss: 	2.46191 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 11:0:29        lr: 	1.0000E-04 loss: 	2.41275 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 10:43:46       lr: 	1.0000E-04 loss: 	2.35648 loss align 0.0000
 epoch [0000 / 0050] [1209/4485] eta: 0 Days 10:29:49       lr: 	1.0000E-04 loss: 	2.35749 loss align 0.0000
 epoch [0000 / 0050] [1309/4485] eta: 0 Days 10:17:58       lr: 	1.0000E-04 loss: 	2.31319 loss align 0.0000
 epoch [0000 / 0050] [1409/4485] eta: 0 Days 10:7:48        lr: 	1.0000E-04 loss: 	2.27998 loss align 0.0000
 epoch [0000 / 0050] [1509/4485] eta: 0 Days 9:58:55        lr: 	1.0000E-04 loss: 	2.24074 loss align 0.0000
 epoch [0000 / 0050] [1609/4485] eta: 0 Days 9:51:8         lr: 	1.0000E-04 loss: 	2.21574 loss align 0.0000
 epoch [0000 / 0050] [1709/4485] eta: 0 Days 9:44:14        lr: 	1.0000E-04 loss: 	2.19982 loss align 0.0000
 epoch [0000 / 0050] [1809/4485] eta: 0 Days 9:38:4         lr: 	1.0000E-04 loss: 	2.19707 loss align 0.0000
 epoch [0000 / 0050] [1909/4485] eta: 0 Days 9:32:32        lr: 	1.0000E-04 loss: 	2.17032 loss align 0.0000
 epoch [0000 / 0050] [2009/4485] eta: 0 Days 9:27:33        lr: 	1.0000E-04 loss: 	2.14748 loss align 0.0000
 epoch [0000 / 0050] [2109/4485] eta: 0 Days 9:23:0         lr: 	1.0000E-04 loss: 	2.13246 loss align 0.0000
 epoch [0000 / 0050] [2209/4485] eta: 0 Days 9:18:56        lr: 	1.0000E-04 loss: 	2.11092 loss align 0.0000
 epoch [0000 / 0050] [2309/4485] eta: 0 Days 9:14:56        lr: 	1.0000E-04 loss: 	2.09756 loss align 0.0000
 epoch [0000 / 0050] [2409/4485] eta: 0 Days 9:11:7         lr: 	1.0000E-04 loss: 	2.09853 loss align 0.0000
 epoch [0000 / 0050] [2509/4485] eta: 0 Days 9:7:36         lr: 	1.0000E-04 loss: 	2.08211 loss align 0.0000
 epoch [0000 / 0050] [2609/4485] eta: 0 Days 9:4:20         lr: 	1.0000E-04 loss: 	2.07512 loss align 0.0000
 epoch [0000 / 0050] [2709/4485] eta: 0 Days 9:1:17         lr: 	1.0000E-04 loss: 	2.06840 loss align 0.0000
 epoch [0000 / 0050] [2809/4485] eta: 0 Days 8:58:26        lr: 	1.0000E-04 loss: 	2.03987 loss align 0.0000
 epoch [0000 / 0050] [2909/4485] eta: 0 Days 8:55:45        lr: 	1.0000E-04 loss: 	2.16142 loss align 0.0000
 epoch [0000 / 0050] [3009/4485] eta: 0 Days 8:53:15        lr: 	1.0000E-04 loss: 	2.14818 loss align 0.0000
 epoch [0000 / 0050] [3109/4485] eta: 0 Days 8:50:54        lr: 	1.0000E-04 loss: 	2.14891 loss align 0.0000
 epoch [0000 / 0050] [3209/4485] eta: 0 Days 8:48:44        lr: 	1.0000E-04 loss: 	2.13482 loss align 0.0000
 epoch [0000 / 0050] [3309/4485] eta: 0 Days 8:46:39        lr: 	1.0000E-04 loss: 	2.11778 loss align 0.0000
 epoch [0000 / 0050] [3409/4485] eta: 0 Days 8:44:40        lr: 	1.0000E-04 loss: 	2.11592 loss align 0.0000
 epoch [0000 / 0050] [3509/4485] eta: 0 Days 8:42:47        lr: 	1.0000E-04 loss: 	2.15393 loss align 0.0000
 epoch [0000 / 0050] [3609/4485] eta: 0 Days 8:41:0         lr: 	1.0000E-04 loss: 	2.14397 loss align 0.0000
 epoch [0000 / 0050] [3709/4485] eta: 0 Days 8:39:17        lr: 	1.0000E-04 loss: 	2.18967 loss align 0.0000
 epoch [0000 / 0050] [3809/4485] eta: 0 Days 8:37:40        lr: 	1.0000E-04 loss: 	2.18540 loss align 0.0000
 epoch [0000 / 0050] [3909/4485] eta: 0 Days 8:36:6         lr: 	1.0000E-04 loss: 	2.16847 loss align 0.0000
