Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.bias', 'lm_head.dense.weight', 'lm_head.bias', 'lm_head.decoder.weight', 'lm_head.layer_norm.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
rr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	5.39896
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4278] eta: 15 Days 22:13:29      lr: 	1.0000E-03 loss: 	87.84830 loss align 0.0000
 epoch [0000 / 0050] [0109/4278] eta: 2 Days 0:56:56        lr: 	1.0000E-03 loss: 	21.65801 loss align 0.0000
 epoch [0000 / 0050] [0209/4278] eta: 1 Days 9:4:22         lr: 	1.0000E-03 loss: 	16.63449 loss align 0.0000
 epoch [0000 / 0050] [0309/4278] eta: 1 Days 3:27:41        lr: 	1.0000E-03 loss: 	14.80889 loss align 0.0000
 epoch [0000 / 0050] [0409/4278] eta: 1 Days 0:33:36        lr: 	1.0000E-03 loss: 	24.85125 loss align 0.0000
 epoch [0000 / 0050] [0509/4278] eta: 0 Days 22:47:8        lr: 	1.0000E-03 loss: 	24.22414 loss align 0.0000
 epoch [0000 / 0050] [0609/4278] eta: 0 Days 21:36:11       lr: 	1.0000E-03 loss: 	21.56999 loss align 0.0000
 epoch [0000 / 0050] [0709/4278] eta: 0 Days 20:44:42       lr: 	1.0000E-03 loss: 	19.72559 loss align 0.0000
 epoch [0000 / 0050] [0809/4278] eta: 0 Days 20:6:18        lr: 	1.0000E-03 loss: 	19.49530 loss align 0.0000
 epoch [0000 / 0050] [0909/4278] eta: 0 Days 19:36:11       lr: 	1.0000E-03 loss: 	18.05096 loss align 0.0000
 epoch [0000 / 0050] [1009/4278] eta: 0 Days 19:12:14       lr: 	1.0000E-03 loss: 	16.79815 loss align 0.0000
 epoch [0000 / 0050] [1109/4278] eta: 0 Days 18:52:16       lr: 	1.0000E-03 loss: 	15.83608 loss align 0.0000
