Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.bias', 'lm_head.bias', 'lm_head.layer_norm.bias', 'lm_head.decoder.weight', 'lm_head.layer_norm.weight', 'lm_head.dense.weight']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	4.22809
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 9 Days 17:55:28       lr: 	1.0000E-06 loss: 	4.09561 loss align 0.0000
 epoch [0000 / 0050] [0109/4485] eta: 1 Days 3:16:16        lr: 	1.0000E-06 loss: 	2.23786 loss align 0.0000
 epoch [0000 / 0050] [0209/4485] eta: 0 Days 17:27:52       lr: 	1.0000E-06 loss: 	1.88856 loss align 0.0000
 epoch [0000 / 0050] [0309/4485] eta: 0 Days 13:58:57       lr: 	1.0000E-06 loss: 	1.65799 loss align 0.0000
 epoch [0000 / 0050] [0409/4485] eta: 0 Days 12:12:18       lr: 	1.0000E-06 loss: 	1.48427 loss align 0.0000
 epoch [0000 / 0050] [0509/4485] eta: 0 Days 11:7:36        lr: 	1.0000E-06 loss: 	1.51635 loss align 0.0000
 epoch [0000 / 0050] [0609/4485] eta: 0 Days 10:24:6        lr: 	1.0000E-06 loss: 	1.62902 loss align 0.0000
 epoch [0000 / 0050] [0709/4485] eta: 0 Days 9:52:47        lr: 	1.0000E-06 loss: 	1.69588 loss align 0.0000
 epoch [0000 / 0050] [0809/4485] eta: 0 Days 9:29:12        lr: 	1.0000E-06 loss: 	1.63758 loss align 0.0000
 epoch [0000 / 0050] [0909/4485] eta: 0 Days 9:10:46        lr: 	1.0000E-06 loss: 	1.66014 loss align 0.0000
 epoch [0000 / 0050] [1009/4485] eta: 0 Days 8:56:1         lr: 	1.0000E-06 loss: 	1.67862 loss align 0.0000
 epoch [0000 / 0050] [1109/4485] eta: 0 Days 8:43:50        lr: 	1.0000E-06 loss: 	1.66174 loss align 0.0000
 epoch [0000 / 0050] [1209/4485] eta: 0 Days 8:33:31        lr: 	1.0000E-06 loss: 	1.64606 loss align 0.0000
 epoch [0000 / 0050] [1309/4485] eta: 0 Days 8:23:54        lr: 	1.0000E-06 loss: 	1.65803 loss align 0.0000
 epoch [0000 / 0050] [1409/4485] eta: 0 Days 8:16:23        lr: 	1.0000E-06 loss: 	1.63476 loss align 0.0000
 epoch [0000 / 0050] [1509/4485] eta: 0 Days 8:9:52         lr: 	1.0000E-06 loss: 	1.61545 loss align 0.0000
 epoch [0000 / 0050] [1609/4485] eta: 0 Days 8:3:32         lr: 	1.0000E-06 loss: 	1.58743 loss align 0.0000
