2024-07-23 12:42:03,811 INFO    MainThread:1222161 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_setup.py:_flush():76] Configure stats pid to 1222161
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_setup.py:_flush():76] Loading settings from /home/baj321/.config/wandb/settings
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_setup.py:_flush():76] Loading settings from /scratch/baj321/MedFuse/wandb/settings
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_init.py:_log_setup():507] Logging user logs to /scratch/baj321/MedFuse/wandb/run-20240723_124203-6073j4pf/logs/debug.log
2024-07-23 12:42:03,812 INFO    MainThread:1222161 [wandb_init.py:_log_setup():508] Logging internal logs to /scratch/baj321/MedFuse/wandb/run-20240723_124203-6073j4pf/logs/debug-internal.log
2024-07-23 12:42:03,813 INFO    MainThread:1222161 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x155469c02390>
2024-07-23 12:42:03,814 INFO    MainThread:1222161 [wandb_init.py:init():547] calling init triggers
2024-07-23 12:42:03,814 INFO    MainThread:1222161 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {'modalities': 'EHR-CXR-RR', 'pretraining': 'RR', 'H_mode': 'predefined-hierarchical', 'order': 'RR-CXR-EHR', 'layer_after': 4, 'layers': 1, 'vision_num_classes': 14, 'retrieve_cxr': 'recent', 'resize': 384, 'crop': 224, 'vision_backbone': 'resnet34', 'pretrained': False, 'eval': False, 'network': None, 'fusion_type': 'uni_ehr', 'run_method': 'fine_tune', 'task': 'in-hospital-mortality', 'labels_set': 'pheno', 'data_ratio': 1.0, 'mmtm_ratio': 4, 'daft_activation': 'linear', 'fusion': 'joint', 'dim': 256, 'depth': 1, 'epochs': 20, 'load_state': None, 'load_state_cxr': None, 'load_state_ehr': None, 'mode': 'train', 'batch_size': 16, 'resume': False, 'dropout': 0.0, 'num_classes': 1, 'patience': 15, 'rec_dropout': 0.0, 'timestep': 1.0, 'imputation': 'previous', 'lr': 1e-05, 'align': 0.0, 'data_pairs': 'paired_ehr_cxr', 'missing_token': None, 'beta_1': 0.9, 'normalizer_state': None, 'ehr_data_dir': '/scratch/fs999/shamoutlab/data/mimic-iv-extracted', 'cxr_data_dir': '/scratch/fs999/shamoutlab/data/physionet.org/files/mimic-cxr-jpg/2.0.0', 'save_dir': '/scratch/baj321/mml-ssl/checkpoints/'}
2024-07-23 12:42:03,814 INFO    MainThread:1222161 [wandb_init.py:init():596] starting backend
2024-07-23 12:42:03,814 INFO    MainThread:1222161 [wandb_init.py:init():600] setting up manager
2024-07-23 12:42:03,820 INFO    MainThread:1222161 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-23 12:42:03,823 INFO    MainThread:1222161 [wandb_init.py:init():606] backend started and connected
2024-07-23 12:42:03,845 INFO    MainThread:1222161 [wandb_run.py:_label_probe_notebook():1238] probe notebook
2024-07-23 12:42:03,845 INFO    MainThread:1222161 [wandb_run.py:_label_probe_notebook():1248] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-07-23 12:42:03,845 INFO    MainThread:1222161 [wandb_init.py:init():700] updated telemetry
2024-07-23 12:42:04,118 INFO    MainThread:1222161 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2024-07-23 12:42:04,696 INFO    MainThread:1222161 [wandb_run.py:_on_init():2177] communicating current version
2024-07-23 12:42:04,765 INFO    MainThread:1222161 [wandb_run.py:_on_init():2186] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-23 12:42:04,765 INFO    MainThread:1222161 [wandb_init.py:init():787] starting run threads in backend
2024-07-23 12:42:09,382 INFO    MainThread:1222161 [wandb_run.py:_console_start():2158] atexit reg
2024-07-23 12:42:09,382 INFO    MainThread:1222161 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2024-07-23 12:42:09,384 INFO    MainThread:1222161 [wandb_run.py:_redirect():2078] Wrapping output streams.
2024-07-23 12:42:09,384 INFO    MainThread:1222161 [wandb_run.py:_redirect():2103] Redirects installed.
2024-07-23 12:42:09,385 INFO    MainThread:1222161 [wandb_init.py:init():829] run started, returning control to user process
2024-07-23 12:42:23,488 INFO    MainThread:1222161 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-07-23 12:42:23,488 INFO    MainThread:1222161 [wandb_init.py:_pause_backend():418] pausing backend
2024-07-23 12:42:23,494 INFO    MainThread:1222161 [wandb_init.py:_resume_backend():423] resuming backend
